pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement
0-0,0-0,0-0,1.0,6749,,,1,,1,Deuce,Motka Komac,Near,1.0,Body,-72.0,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,5/4/14,D1,NCAA,4.0,,Los Angeles Tennis Center,Texas Tech,Elise Wagle,Motka Komac,right,right,2.0,Hard,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,Body
0-0,0-0,0-0,,10039,,,1,,2,Deuce,Motka Komac,Near,,,,,,,,,,-155.0,472.0,Down the Line,Forehand,,,,,,,,,,-23.0,-441.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
0-0,0-0,0-0,,11629,,,1,,3,Deuce,Motka Komac,Near,,,,,,,,,,21.0,-547.0,Down the Line,Backhand,,,,,,,,,,19.0,445.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
0-0,0-0,0-0,,13157,,,1,,4,Ad,Motka Komac,Near,,,,,,,,,,59.0,507.0,Crosscourt,Forehand,,,,,,,,,,-37.0,-262.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
0-0,0-0,0-0,,14863,,,1,,5,Ad,Motka Komac,Near,,,,,,,,,,-107.0,-544.0,Crosscourt,Forehand,,,,,,,,,,65.0,210.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
0-0,0-0,0-0,,16233,,,1,,6,Ad,Motka Komac,Near,,,,,,,,,,72.0,480.0,Down the Line,Backhand,,,,,,,,,,142.0,-195.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
0-0,0-0,0-0,,18230,,,1,,7,Deuce,Motka Komac,Near,,,,,,,,,,165.0,-531.0,Crosscourt,Forehand,1.0,,,,,,,,,-39.0,405.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
0-0,0-0,0-0,,19945,,,1,,8,Deuce,Motka Komac,Near,,,,,,,,,,-35.0,390.0,Crosscourt,Forehand,,1.0,,,,,,,,19.0,-265.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
0-0,0-0,0-0,,21123,,,1,,9,Ad,Motka Komac,Near,,,,,,,,,,-13.0,-414.0,Crosscourt,Forehand,,,,,,,,,,78.0,224.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
0-0,0-0,0-0,,22522,,,1,,10,Ad,Motka Komac,Near,,,,,,,,,,104.0,478.0,Crosscourt,Backhand,,,,,,,,,,-21.0,-201.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
