Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time
Ferguson,1,serve,Serve,Flat,103.576897,1,0,0,no_mans_land,deuce,near,2.169199,5.0109,no_mans_land,deuce,far,-1.210906,24.682688,2.615355,down the T,Out,false,20:59:35,3.43
Aadarsh,2,return,Forehand,Topspin,39.869968,1,0,0,out,deuce,far,-2.759758,24.588503,out,deuce,near,3.148364,-1.508643,0.389834,cross court,Out,false,20:59:36,4.63
Ferguson,1,serve,Serve,Flat,100.714119,2,0,0,service_box,deuce,far,-1.07915,18.052719,no_mans_land,ad,far,0.958761,24.146402,2.197161,out wide,Net,false,20:59:55,23.66
Ferguson,1,serve,Serve,Slice,69.009476,3,0,0,service_box,ad,near,-1.992649,6.922195,no_mans_land,ad,far,0.545229,22.600485,2.588109,down the T,In,false,21:00:04,32.950001
Aadarsh,2,return,Forehand,Topspin,66.173218,3,0,0,no_mans_land,deuce,far,-2.929251,23.56465,no_mans_land,ad,near,-2.929251,0.478257,1.300041,inside in,In,false,21:00:05,33.91
Ferguson,3,serve_plus_one,Forehand,Topspin,49.600185,3,0,0,no_mans_land,deuce,near,1.414529,2.509897,no_mans_land,deuce,far,-0.945171,24.433613,1.174163,cross court,In,false,21:00:06,34.970001
Aadarsh,4,return_plus_one,Forehand,Topspin,46.239532,3,0,0,no_mans_land,ad,far,3.394459,20.322729,out,deuce,near,1.728801,-1.477497,1.03214,down the line,In,false,21:00:08,36.23
Ferguson,5,in_play,Backhand,Topspin,70.694298,3,0,0,no_mans_land,ad,near,-2.747674,0.88496,out,ad,far,3.838766,26.318253,1.143115,cross court,In,false,21:00:10,38.07
Aadarsh,6,in_play,Backhand,Slice,45.224854,3,0,0,service_box,ad,near,-3.152755,10.772903,out,ad,near,-3.783803,-0.96475,1.108906,cross court,Net,false,21:00:11,39.130001
Ferguson,1,serve,Serve,Flat,112.58358,4,0,0,no_mans_land,deuce,near,1.210313,3.166204,no_mans_land,deuce,far,-0.889275,23.803061,2.617624,down the T,Out,false,21:00:33,61.779999
Aadarsh,2,return,Backhand,Slice,34.055923,4,0,0,no_mans_land,ad,far,1.328277,18.821648,out,deuce,near,1.029689,-1.955298,0.814037,inside in,In,false,21:00:35,63.139999
Ferguson,1,serve,Serve,Flat,59.844376,5,0,0,service_box,deuce,near,1.547544,5.558846,no_mans_land,deuce,far,-0.802196,23.445894,2.722291,down the T,In,false,21:00:47,75.529999
Aadarsh,2,return,Backhand,Topspin,50.235802,5,0,0,no_mans_land,ad,far,1.071886,22.606503,no_mans_land,deuce,near,1.712656,0.255269,1.38378,inside in,In,false,21:00:48,76.57
Ferguson,3,serve_plus_one,Forehand,Topspin,69.485794,5,0,0,service_box,ad,net,1.974639,9.939396,out,deuce,far,-0.013199,25.233084,1.502778,down the line,In,false,21:00:50,78.190002
Aadarsh,4,return_plus_one,Forehand,Slice,44.782169,5,0,0,no_mans_land,ad,far,2.392401,22.015209,out,deuce_alley,near,4.685594,-1.96961,0.7952,down the line,In,false,21:00:51,79.870003
Ferguson,1,serve,Serve,Slice,68.695137,6,0,0,no_mans_land,ad,near,-3.059119,3.545417,out,ad,far,1.4215,25.043753,2.591567,out wide,Out,false,21:01:17,105.230003
Aadarsh,2,return,Backhand,Slice,28.566505,6,0,0,service_box,deuce,near,2.458659,9.595881,out,ad_alley,near,-5.244298,-0.658259,1.00689,down the line,Net,false,21:01:18,106.449997
Ferguson,1,serve,Serve,Slice,52.737663,7,0,0,service_box,ad,near,-1.953166,6.89995,out,ad,far,1.183747,23.425589,2.598299,down the T,In,false,21:01:38,126.519997
Aadarsh,2,return,Forehand,Flat,64.026871,7,0,0,out,ad,far,0.595304,23.80172,no_mans_land,ad,near,-3.94774,0.828022,1.270949,inside out,Out,false,21:01:39,127.639999
Ferguson,1,serve,Serve,Flat,107.314064,8,0,0,service_box,deuce,near,0.550788,7.585057,no_mans_land,deuce,far,-0.566556,23.688091,2.35415,down the T,In,false,21:02:02,150.470001
Aadarsh,2,return,Backhand,Flat,44.208115,8,0,0,no_mans_land,ad,far,0.651117,23.595863,out,deuce,near,0.891818,-1.396516,0.884345,inside in,In,false,21:02:03,151.419998
Ferguson,3,serve_plus_one,Forehand,Slice,67.088982,8,0,0,no_mans_land,ad,far,0.741925,18.650919,no_mans_land,ad,far,0.651117,24.804651,1.028124,inside out,Net,false,21:02:04,152.800003
Ferguson,4,return_plus_one,Forehand,Topspin,74.782082,8,0,0,no_mans_land,deuce,near,2.860485,2.639978,no_mans_land,ad,far,0.705743,23.121588,1.703243,inside in,In,false,21:02:05,153.919998
Aadarsh,5,in_play,Forehand,Topspin,34.0634,8,0,0,no_mans_land,deuce,far,-1.377584,20.370722,out,deuce,near,3.847499,-2.55508,1.693048,cross court,In,false,21:02:07,155.119995
Aadarsh,1,serve,Serve,Flat,50.932919,9,0,0,service_box,ad,far,0.909519,17.49152,no_mans_land,deuce,far,-1.490896,24.79833,2.399011,out wide,Net,false,21:03:09,217.229996
Aadarsh,1,serve,Serve,Flat,43.769688,10,0,0,service_box,deuce,near,1.431641,7.138704,no_mans_land,deuce,far,-1.343542,23.510199,2.539388,down the T,In,false,21:03:16,224.279999
Ferguson,2,return,Forehand,Topspin,46.943375,10,0,0,no_mans_land,deuce,far,-0.514552,18.426643,out,deuce,near,1.783418,-1.830388,1.140016,cross court,In,false,21:03:17,225.800003
Aadarsh,3,serve_plus_one,Forehand,Topspin,54.722855,10,0,0,no_mans_land,deuce,near,0.831432,5.403378,no_mans_land,deuce,far,-0.842155,24.178936,1.44243,cross court,In,false,21:03:19,227.320007
Ferguson,4,return_plus_one,Forehand,Topspin,52.369717,10,0,0,no_mans_land,deuce,far,-1.491178,19.773136,no_mans_land,deuce,near,1.338277,0.102748,1.130913,cross court,In,false,21:03:20,228.660004
Aadarsh,5,in_play,Forehand,Topspin,62.11232,10,0,0,no_mans_land,deuce,near,2.087402,3.338469,no_mans_land,deuce,far,-2.065863,24.384283,1.646414,cross court,In,false,21:03:21,229.960007
Ferguson,6,in_play,Forehand,Topspin,67.861076,10,0,0,no_mans_land,deuce,far,-2.764259,21.700722,out,deuce,near,3.599126,-1.724509,1.072638,cross court,In,false,21:03:23,231.160004
Aadarsh,7,in_play,Forehand,Slice,37.018429,10,0,0,no_mans_land,ad,near,-2.739317,4.958268,out,deuce_alley,far,-4.157228,26.103399,0.989202,down the line,In,false,21:03:24,232.419998
Ferguson,8,in_play,Backhand,Slice,40.181351,10,0,0,no_mans_land,ad,far,2.546238,19.746962,no_mans_land,ad,near,-2.836296,2.226819,0.523444,cross court,In,false,21:03:26,234.520004
Aadarsh,9,in_play,Backhand,Topspin,37.620079,10,0,0,no_mans_land,ad,near,-2.181445,1.589711,out,ad,far,3.478987,25.896513,0.910402,cross court,In,false,21:03:27,235.970001
Aadarsh,1,serve,Serve,Flat,89.960747,12,0,0,service_box,deuce,far,-0.728103,11.966375,out,ad,far,1.238936,25.215012,2.547325,down the T,Net,false,21:03:50,258.220001
