pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Aadarsh Tripathi,Theo Dean,0-0,0-0,0-0,,Deuce,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,16626.0,46070.0,29444.0,9,9-12,0,1,2nd Serve In,Body,Body,Body,False,Near,-82.0,-7.0,-76.0,230.0,Down the Line,Forehand,Wide Left,,Crosscourt,Forehand,Theo Dean,Error,Aadarsh Tripathi,,False,,,1,0,0,0,0,0,0,,,1,,,Down the Line,Forehand,,,,2nd Serve In,Deuce: Body,,,Crosscourt,Forehand,Error,1.0,2.0,3.0,1.0,"Set 1: 0-0, 0-0 Theo Dean Serving"
2,Aadarsh Tripathi,Theo Dean,0-15,0-0,0-0,,Ad,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,68327.0,76204.0,7877.0,5,5-8,1,0,1st Serve In,Wide,Wide,,False,Near,126.0,233.0,,,Down the Line,Backhand,Wide Right,,Crosscourt,Backhand,Theo Dean,Error,Aadarsh Tripathi,0.0,False,,Theo Dean,1,0,0,0,0,0,15,,,1,,,Down the Line,Backhand,,,,1st Serve In,Ad: Wide,,,Crosscourt,Backhand,Error,0.0,0.0,2.0,0.0,"Set 1: 0-0, 0-15 Theo Dean Serving"
3,Aadarsh Tripathi,Theo Dean,0-30,0-0,0-0,,Deuce,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,97603.0,113383.0,15780.0,2,1-4,0,1,2nd Serve In,Body,Wide,Body,False,Near,-170.0,217.0,-60.0,233.0,Down the Line,Backhand,Wide Right,Wide Right,Down the Line,Backhand,Aadarsh Tripathi,Error,Theo Dean,0.0,False,,,1,0,0,0,0,0,30,,,1,,,Down the Line,Backhand,Down the Line,Backhand,Error,2nd Serve In,Deuce: Body,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-0, 0-30 Theo Dean Serving"
4,Aadarsh Tripathi,Theo Dean,15-30,0-0,0-0,,Ad,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,136334.0,157698.0,21364.0,4,1-4,0,1,2nd Serve In,T,Body,T,False,Near,86.0,-15.0,46.0,177.0,Crosscourt,Forehand,Net,,Crosscourt,Forehand,Aadarsh Tripathi,Error,Theo Dean,0.0,False,,,1,0,0,0,0,15,30,,,1,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,2nd Serve In,Ad: T,,,,,,0.0,1.0,1.0,0.0,"Set 1: 0-0, 15-30 Theo Dean Serving"
5,Aadarsh Tripathi,Theo Dean,30-30,0-0,0-0,,Deuce,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,183717.0,210267.0,26550.0,2,1-4,0,1,2nd Serve In,Wide,Wide,Wide,False,Near,-170.0,209.0,-154.0,212.0,Crosscourt,Forehand,Long,Long,Crosscourt,Forehand,Aadarsh Tripathi,Error,Theo Dean,0.0,False,,,1,0,0,0,0,30,30,,,1,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,2nd Serve In,Deuce: Wide,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-0, 30-30 Theo Dean Serving"
6,Aadarsh Tripathi,Theo Dean,30-40,0-0,0-0,,Ad,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,232356.0,249918.0,17562.0,12,9-12,1,0,1st Serve In,Body,Body,,False,Near,83.0,236.0,,,Crosscourt,Backhand,,,Down the Line,Backhand,Aadarsh Tripathi,Winner,Aadarsh Tripathi,0.0,True,,,1,0,0,0,0,30,40,,,1,,,Crosscourt,Backhand,Down the Line,Backhand,Winner,1st Serve In,Ad: Body,,,,,,2.0,0.0,4.0,5.0,"Set 1: 0-0, 30-40 Theo Dean Serving"
7,Aadarsh Tripathi,Theo Dean,40-40,0-0,0-0,,Ad,Theo Dean,Aadarsh Tripathi,UCLA,University of California Berkeley,271901.0,289434.0,17533.0,1,1-4,0,0,Double Fault,T,T,T,False,Near,46.0,-9.0,3.0,281.0,,,,,,,Theo Dean,,Aadarsh Tripathi,0.0,True,,,1,0,0,0,0,40,40,,,1,,,,,,,,Double Fault,Ad: T,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-0, 40-40 Theo Dean Serving"
8,Aadarsh Tripathi,Theo Dean,0-0,1-0,0-0,,Deuce,Aadarsh Tripathi,Theo Dean,UCLA,University of California Berkeley,355674.0,379533.0,23859.0,6,5-8,0,1,2nd Serve In,Body,Wide,Body,False,Near,-180.0,230.0,-79.0,228.0,Crosscourt,Forehand,,,Down the Line,Backhand,Theo Dean,Winner,Theo Dean,0.0,False,Aadarsh Tripathi,Theo Dean,1,0,0,1,0,0,0,,,2,2nd Serve In,Deuce: Body,,,,,,,,Crosscourt,Forehand,Down the Line,Backhand,Winner,0.0,3.0,3.0,1.0,"Set 1: 1-0, 0-0 Aadarsh Tripathi Serving"
9,Aadarsh Tripathi,Theo Dean,0-15,1-0,0-0,,Ad,Aadarsh Tripathi,Theo Dean,UCLA,University of California Berkeley,410563.0,414558.0,3995.0,2,1-4,1,0,1st Serve In,T,T,,False,Near,38.0,233.0,,,Crosscourt,Forehand,Wide Right,Wide Right,Crosscourt,Forehand,Theo Dean,Error,Aadarsh Tripathi,0.0,False,,,1,0,0,1,0,0,15,,,2,1st Serve In,Ad: T,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,0.0,0.0,0.0,0.0,"Set 1: 1-0, 0-15 Aadarsh Tripathi Serving"
10,Aadarsh Tripathi,Theo Dean,15-15,1-0,0-0,,Deuce,Aadarsh Tripathi,Theo Dean,UCLA,University of California Berkeley,433889.0,454132.0,20243.0,1,1-4,0,0,Double Fault,Wide,Body,Wide,False,Near,-82.0,278.0,-172.0,238.0,,,,,,,Aadarsh Tripathi,,Theo Dean,0.0,False,,,1,0,0,1,0,15,15,,,2,Double Fault,Deuce: Wide,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 1-0, 15-15 Aadarsh Tripathi Serving"
