pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isLet,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,16626,,,1,,1,Deuce,Theo Dean,Near,0.0,Body,-82.0,-7.0,1.0,Body,-76.0,230.0,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,2nd Serve In,Body,
0-0,0-0,0-0,,35823,,,1,,2,Deuce,Theo Dean,Near,,,,,,,,,,-122.0,480.0,Down the Line,Forehand,,,,,,,,,,-13.0,-409.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,,,,,Deep
0-0,0-0,0-0,,37519,,,1,,3,Ad,Theo Dean,Near,,,,,,,,,,-29.0,-520.0,Down the Line,Forehand,,,,,,,,,,-90.0,388.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,1.0,,,,,,Deep
0-0,0-0,0-0,,38927,,,1,,4,Deuce,Theo Dean,Near,,,,,,,,,,-92.0,496.0,Crosscourt,Forehand,,,,,,,,,,89.0,-262.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,,,,,Short
0-0,0-0,0-0,,40099,,,1,,5,Deuce,Theo Dean,Near,,,,,,,,,,145.0,-498.0,Crosscourt,Forehand,,,,,,,,,,-98.0,281.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,,,Short
0-0,0-0,0-0,,41471,,,1,,6,Deuce,Theo Dean,Near,,,,,,,,,,-159.0,498.0,Crosscourt,Forehand,,,,,,,,,,83.0,-265.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,,,,,Short
0-0,0-0,0-0,,42584,,,1,,7,Deuce,Theo Dean,Near,,,,,,,,,,153.0,-504.0,Crosscourt,Forehand,,,,,,,,,,-100.0,414.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,,,Deep
0-0,0-0,0-0,,44002,,,1,,8,Deuce,Theo Dean,Near,,,,,,,,,,-114.0,485.0,Crosscourt,Forehand,,,,,,,,,,73.0,-281.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,,,,,Short
0-0,0-0,0-0,,44768,1.0,46070.0,1,,9,Deuce,Theo Dean,Near,,,,,,,,,,150.0,-501.0,Crosscourt,Forehand,,,,,,,,,,-231.0,292.0,,,1.0,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,Aadarsh Tripathi,1,,,
0-15,0-0,0-0,1.0,68327,,,2,,1,Ad,Theo Dean,Near,1.0,Wide,126.0,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,1st Serve In,Wide,
