pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isLet
0-0,0-0,0-0,1,16626,NA,NA,NA,NA,1,Deuce,Player2,Near,0,Body,-82,-7,1,Body,-76,230,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,0-0,0-0,NA,35823,NA,NA,NA,NA,2,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-122,480,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,-409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,0-0,0-0,NA,37519,NA,NA,NA,NA,3,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-29,-520,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,0-0,0-0,NA,38927,NA,NA,NA,NA,4,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-92,496,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,-262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,0-0,0-0,NA,40099,NA,NA,NA,NA,5,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,145,-498,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-98,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,0-0,0-0,NA,41471,NA,NA,NA,NA,6,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-159,498,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,-265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,0-0,0-0,NA,42584,NA,NA,NA,NA,7,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,153,-504,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,0-0,0-0,NA,44002,NA,NA,NA,NA,8,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-114,485,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,-281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,0-0,0-0,NA,44768,1,46070,NA,NA,9,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,150,-501,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-231,292,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-15,0-0,0-0,1,68327,NA,NA,NA,NA,1,Ad,Player2,Near,1,Wide,126,233,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-15,0-0,0-0,NA,72988,NA,NA,NA,NA,2,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,171,493,Down the Line,Backhand,1,NA,NA,NA,NA,NA,NA,NA,NA,9,-164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-15,0-0,0-0,NA,73192,NA,NA,NA,NA,3,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,11,-117,Down the Line,Forehand,NA,1,NA,1,NA,NA,NA,NA,NA,107,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-15,0-0,0-0,NA,74212,NA,NA,NA,NA,4,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,161,493,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,1,-116,-92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-15,0-0,0-0,NA,76194,1,76204,NA,NA,5,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-132,-120,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,324,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-30,0-0,0-0,1,97603,NA,NA,NA,NA,1,Deuce,Player2,Near,0,Wide,-170,217,1,Body,-60,233,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-30,0-0,0-0,NA,111014,1,113383,NA,NA,2,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-58,480,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-164,-316,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,0-0,0-0,1,136334,NA,NA,NA,NA,1,Ad,Player2,Near,0,Body,86,-15,1,T,46,177,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,0-0,0-0,NA,152489,NA,NA,NA,NA,2,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,75,440,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-58,-321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,0-0,0-0,NA,154585,NA,NA,NA,NA,3,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-92,-517,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-98,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-30,0-0,0-0,NA,154586,1,157698,NA,NA,4,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-138,501,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,25,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-30,0-0,0-0,1,183717,NA,NA,NA,NA,1,Deuce,Player2,Near,0,Wide,-170,209,1,Wide,-154,212,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-30,0-0,0-0,NA,207367,1,210267,NA,NA,2,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-186,426,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,-468,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-40,0-0,0-0,1,232356,NA,NA,NA,1,1,Ad,Player2,Near,1,Body,83,236,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-40,0-0,0-0,NA,235289,NA,NA,NA,NA,2,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,102,482,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71,-284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-40,0-0,0-0,NA,236833,NA,NA,NA,NA,3,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-130,-418,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-40,0-0,0-0,NA,237706,NA,NA,NA,NA,4,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,91,482,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-52,-217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-40,0-0,0-0,NA,239253,NA,NA,NA,NA,5,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-90,-469,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-40,0-0,0-0,NA,240263,NA,NA,NA,NA,6,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,35,490,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79,-369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-40,0-0,0-0,NA,241833,NA,NA,NA,NA,7,Ad,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-119,-493,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30-40,0-0,0-0,NA,242927,NA,NA,NA,NA,8,Deuce,Player2,Near,NA,,NA,NA,NA,,NA,NA,NA,-10,490,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79,-380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
