pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
0-0,0-0,0-0,1,6749,,,,,1,Deuce,Player2,Near,1,Body,-72,181,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,5/4/14,D1,NCAA,4,,Los Angeles Tennis Center,Texas Tech,Elise Wagle,Motka Komac,right,right,2,Hard,
0-0,0-0,0-0,,10039,,,,,2,Deuce,Player2,Near,,,,,,,,,,-155,472,Down the Line,Forehand,,,,,,,,,,-23,-441,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,11629,,,,,3,Deuce,Player2,Near,,,,,,,,,,21,-547,Down the Line,Backhand,,,,,,,,,,19,445,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,13157,,,,,4,Ad,Player2,Near,,,,,,,,,,59,507,Crosscourt,Forehand,,,,,,,,,,-37,-262,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,14863,,,,,5,Ad,Player2,Near,,,,,,,,,,-107,-544,Crosscourt,Forehand,,,,,,,,,,65,210,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,16233,,,,,6,Ad,Player2,Near,,,,,,,,,,72,480,Down the Line,Backhand,,,,,,,,,,142,-195,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,18230,,,,,7,Deuce,Player2,Near,,,,,,,,,,165,-531,Crosscourt,Forehand,1,,,,,,,,,-39,405,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,19945,,,,,8,Deuce,Player2,Near,,,,,,,,,,-35,390,Crosscourt,Forehand,,1,,,,,,,,19,-265,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,21123,,,,,9,Ad,Player2,Near,,,,,,,,,,-13,-414,Crosscourt,Forehand,,,,,,,,,,78,224,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,22522,,,,,10,Ad,Player2,Near,,,,,,,,,,104,478,Crosscourt,Backhand,,,,,,,,,,-21,-201,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,23537,1,,,,11,Ad,Player2,Near,,,,,,,,,,-19,-211,Down the Line,Backhand,,1,,,,,,1,,-61,269,1,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,1,52273,,,,,1,Ad,Player2,Near,1,Body,91,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,55152,,,,,2,Ad,Player2,Near,,,,,,,,,,61,473,Crosscourt,Backhand,,,,,,,,,,-58,-264,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,57002,,,,,3,Ad,Player2,Near,,,,,,,,,,-99,-477,Down the Line,Backhand,,,,,,,,,,-122,430,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,57892,,,,,4,Deuce,Player2,Near,,,,,,,,,,-93,502,Down the Line,Forehand,1,,,,,,,,,-58,-339,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,60066,1,66672,,,5,Ad,Player2,Near,,,,,,,,,,-80,-429,Crosscourt,Forehand,,,,,,,,,,70,-11,,,,1,,,,,,,,,,,,,,,,
15-15,0-0,0-0,1,61434,,,,,1,Deuce,Player2,Near,0,Body,-56,2,1,Wide,-117,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,96639,,,,,2,Deuce,Player2,Near,,,,,,,,,,-205,480,Crosscourt,Forehand,,,,,,,,,,78,-350,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,98098,,,,,3,Deuce,Player2,Near,,,,,,,,,,123,-510,Crosscourt,Forehand,,,,,,,,,,-90,285,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,99954,,,,,4,Deuce,Player2,Near,,,,,,,,,,-128,472,Crosscourt,Forehand,,,,,,,,,,57,-363,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,100802,,,,,5,Deuce,Player2,Near,,,,,,,,,,56,-496,Down the Line,Forehand,,,,,,,,,,30,448,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,102129,,,,,6,Deuce,Player2,Near,,,,,,,,,,-8,502,Down the Line,Backhand,,,,,,,,,,-61,-291,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,103441,,,,,7,Ad,Player2,Near,,,,,,,,,,-88,-467,Down the Line,Backhand,,,,,,,,,,-61,435,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,105799,,,,,8,Deuce,Player2,Near,,,,,,,,,,-32,488,Crosscourt,Forehand,,,,,,,,,,84,-275,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,106311,1,107329,,,9,Deuce,Player2,Near,,,,,,,,,,120,-496,Crosscourt,Forehand,,,,,,,,,,-122,272,1,,,,,,,,,,,,,,,,,,,
30-15,0-0,0-0,1,130703,1,144776,,,1,Ad,Player2,Near,0,T,0,283,0,Body,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-30,0-0,0-0,1,163282,,,,,1,Deuce,Player2,Near,1,T,-48,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-30,0-0,0-0,,165891,,,,,2,Deuce,Player2,Near,,,,,,,,,,-93,478,Crosscourt,Backhand,,,,,,,,,,129,-227,,,,,,,,,,,,,,,,,,,,
30-30,0-0,0-0,,167720,,,,,3,Deuce,Player2,Near,,,,,,,,,,160,-371,Down the Line,Forehand,,,,1,,,,,,94,226,,,,,,,,,,,,,,,,,,,,
30-30,0-0,0-0,,169085,1,172096,,,4,Ad,Player2,Near,,,,,,,,,,40,488,Down the Line,Backhand,,,,,,,,,,105,-115,1,,,,,,,,,,,,,,,,,,,
30-40,0-0,0-0,1,191183,,,,,1,Ad,Player2,Near,1,T,45,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-40,0-0,0-0,,193113,1,195497,,,2,Ad,Player2,Near,,,,,,,,,,104,477,Down the Line,Forehand,,,,,,,,,,230,-210,,,1,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,1,212899,,,,1,1,Ad,Player2,Near,1,T,37,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,215986,,,,,2,Ad,Player2,Near,,,,,,,,,,32,483,Crosscourt,Forehand,,,,,,,,,,-74,-281,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,217012,,,,,3,Ad,Player2,Near,,,,,,,,,,-93,-454,Down the Line,Backhand,,,,,,,,,,-47,306,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,218085,,,,,4,Deuce,Player2,Near,,,,,,,,,,-21,486,Down the Line,Forehand,,,,,,,,,,-90,-299,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,219631,,,,,5,Ad,Player2,Near,,,,,,,,,,-115,-510,Crosscourt,Backhand,,,,,,,,,,70,237,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,221439,,,,,6,Ad,Player2,Near,,,,,,,,,,75,462,Crosscourt,Backhand,,,,,,,,,,-42,-230,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,222354,1,,,,7,Ad,Player2,Near,,,,,,,,,,-83,-491,Crosscourt,Backhand,,,,,,,,,,166,224,,1,,,,,,,,,,,,,,,,,,
0-0,1-0,0-0,1,298945,,,,,1,Deuce,Player1,Near,1,Body,-93,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-0,1-0,0-0,,307425,,,,,2,Deuce,Player1,Near,,,,,,,,,,-163,448,Crosscourt,Forehand,,,,,,,,,,78,-310,,,,,,,,,,,,,,,,,,,,
0-0,1-0,0-0,,308720,,,,,3,Deuce,Player1,Near,,,,,,,,,,125,-507,Down the Line,Forehand,,,,,,,,,,19,261,,,,,,,,,,,,,,,,,,,,
0-0,1-0,0-0,,310100,1,,,,4,Deuce,Player1,Near,,,,,,,,,,-51,472,Down the Line,Backhand,,,,,,,,,,-50,2,,,,1,,,,,,,,,,,,,,,,
15-0,1-0,0-0,1,327879,,,,,1,Ad,Player1,Near,0,T,19,381,1,Wide,107,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-0,1-0,0-0,,358063,1,,,,2,Ad,Player1,Near,,,,,,,,,,107,480,Down the Line,Backhand,,,,,,,,,,60,2,,,,1,,,,,,,,,,,,,,,,
30-0,1-0,0-0,1,387723,,,,,1,Deuce,Player1,Near,0,Body,-56,323,1,Body,-64,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-0,1-0,0-0,,405938,,,,,2,Deuce,Player1,Near,,,,,,,,,,-64,467,Crosscourt,Forehand,,,,,,,,,,60,-246,,,,,,,,,,,,,,,,,,,,
30-0,1-0,0-0,,407099,,,,,3,Deuce,Player1,Near,,,,,,,,,,125,-526,Down the Line,Forehand,1,,,,,,,,,73,272,,,,,,,,,,,,,,,,,,,,
30-0,1-0,0-0,,409367,1,414275,,,4,Ad,Player1,Near,,,,,,,,,,123,293,Down the Line,Forehand,,,,1,,,,,,126,-502,,,,,1,,,,,,,,,,,,,,,
40-0,1-0,0-0,1,440352,1,,,,1,Ad,Player1,Near,1,Wide,109,243,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0-0,2-0,0-0,1,469855,,,,,1,Deuce,Player2,Far,0,Body,50,-261,1,T,48,-210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-0,2-0,0-0,,483719,,,,,2,Deuce,Player2,Far,,,,,,,,,,141,-480,Crosscourt,Backhand,,,,,,,,,,-110,416,,,,,,,,,,,,,,,,,,,,
0-0,2-0,0-0,,485316,1,,,,3,Deuce,Player2,Far,,,,,,,,,,-136,485,Crosscourt,Forehand,,,,,,,,,,176,-274,,,1,,,,,,,,,,,,,,,,,
0-15,2-0,0-0,1,507449,,,,,1,Ad,Player2,Far,1,Body,-94,-234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-15,2-0,0-0,,511924,,,,,2,Ad,Player2,Far,,,,,,,,,,-131,-493,Down the Line,Backhand,,,,,,,,,,-88,408,,,,,,,,,,,,,,,,,,,,
0-15,2-0,0-0,,512399,,,,,3,Deuce,Player2,Far,,,,,,,,,,-48,480,Down the Line,Forehand,,,,,,,,,,-19,-258,,,,,,,,,,,,,,,,,,,,
0-15,2-0,0-0,,513648,,,,,4,Deuce,Player2,Far,,,,,,,,,,16,-488,Down the Line,Backhand,,,,,,,,,,32,405,,,,,,,,,,,,,,,,,,,,
0-15,2-0,0-0,,515910,,,,,5,Ad,Player2,Far,,,,,,,,,,0,472,Down the Line,Backhand,,,,,,,,,,-134,-213,,,,,,,,,,,,,,,,,,,,
0-15,2-0,0-0,,517131,,,,,6,Ad,Player2,Far,,,,,,,,,,-235,-522,Crosscourt,Backhand,1,,,,,,,,,16,370,,,,,,,,,,,,,,,,,,,,
0-15,2-0,0-0,,518425,1,519800,,,7,Ad,Player2,Far,,,,,,,,,,58,442,Crosscourt,Forehand,,,,,,,,,,-96,-330,1,,,,,,,,,,,,,,,,,,,
15-15,2-0,0-0,1,519719,,,,,1,Deuce,Player2,Far,1,Body,93,-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-15,2-0,0-0,,544369,,,,,2,Deuce,Player2,Far,,,,,,,,,,197,-477,Down the Line,Forehand,,,,,,,,,,90,232,,,,,,,,,,,,,,,,,,,,
15-15,2-0,0-0,,545754,,,,,3,Deuce,Player2,Far,,,,,,,,,,-27,402,Crosscourt,Forehand,,,,,,,,,,96,-163,,,,,,,,,,,,,,,,,,,,
15-15,2-0,0-0,,547867,,,,,4,Deuce,Player2,Far,,,,,,,,,,205,-450,Down the Line,Forehand,1,,,,,,,,,149,64,,,,,,,,,,,,,,,,,,,,
15-15,2-0,0-0,,548616,1,,,,5,Ad,Player2,Far,,,,,,,,,,154,61,Down the Line,Backhand,,1,,,,,,1,,66,0,,,,1,,,,,,,,,,,,,,,,
