pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWide,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,PlayerServer
0 - 0,0 - 0,0 - 0,1,0,0,,1.0,,1,Deuce,Player2,Near,1,Body,-68.7603783901657,212.12369313199886,,,,,0,60.58831474187596,-465.40128499538514,Crosscourt,,,,,,,,,,,-68.7603783901657,212.12369313199886,,,,,,,,,,,,,Elise Wagle,Matka Komac,,,,,,Matka Komac,1,first_serve,Serve,Flat,68.663109,1,1,1,short,deuce,far,-1.796414,17.429083,deep,deuce,near,1.582913,-0.271741,2.465083,down the T,In,False,02:39:44,,Matka KomacServe
0 - 0,0 - 0,0 - 0,0,2000,0,,1.0,,2,Deuce_Alley,Player1,,,,,,,,,,0,-169.9636975064739,525.486493875494,Down the Line,Forehand,,,,,,,,,,-22.679303368317242,-442.7434164477153,,,,,,,,,,,,,,,,,,,,Elise Wagle,2,first_return,Forehand,Topspin,46.298534,1,1,1,deep,ad,near,-0.592513,0.320212,out,deuce_alley,far,-4.440423,25.61591,0.934039,down the line,In,False,02:39:46,,Elise WagleForehand
0 - 0,0 - 0,0 - 0,0,3000,0,,1.0,,3,Ad,Player2,,,,,,,,,,0,-21.59129483813408,-511.112800743393,Crosscourt,Backhand,,,,,,,,,,26.359623797011757,454.65834426923146,,,,,,,,,,,,,,,,,,,,Matka Komac,3,serve_plus_one,Backhand,Topspin,46.585247,1,1,1,deep,ad,far,0.688664,23.765474,out,ad,near,-0.564088,-1.465987,1.11735,cross court,In,False,02:39:47,,Matka KomacBackhand
0 - 0,0 - 0,0 - 0,0,5000,0,,1.0,,4,Ad,Player1,,,,,,,,,,0,70.40339566925498,584.6699092297943,Crosscourt,Forehand,,,,,,,,,,-59.787685914229826,-246.79313757642544,,,,,,,,,,,,,,,,,,,,Elise Wagle,4,return_plus_one,Forehand,Topspin,44.837036,1,1,1,deep,ad,near,-1.561996,5.439553,out,ad,far,1.839339,27.162119,1.693266,inside out,In,False,02:39:49,,Elise WagleForehand
0 - 0,0 - 0,0 - 0,0,7000,0,,1.0,,5,Ad,Player2,,,,,,,,,,0,-63.93172572175175,-495.3162565614239,Crosscourt,Forehand,,,,,,,,,,63.39895559926733,181.24438429561943,,,,,,,,,,,,,,,,,,,,Matka Komac,5,in_play,Forehand,Topspin,59.026569,1,1,1,short,ad,far,1.656343,16.622339,out,ad,near,-1.670262,-1.053291,1.222587,inside out,In,False,02:39:51,,Matka KomacForehand
0 - 0,0 - 0,0 - 0,0,8000,0,,1.0,,6,Ad,Player1,,,,,,,,,,0,110.82671150475466,545.566289369797,Down the Line,Backhand,,,,,,,,,,150.97837926501387,-187.12870188091821,,,,,,,,,,,,,,,,,,,,Elise Wagle,6,in_play,Backhand,Topspin,62.008358,1,1,1,short,deuce,near,3.944418,6.998329,out,ad,far,2.895427,26.140509,0.727518,down the line,In,False,02:39:52,,Elise WagleBackhand
0 - 0,0 - 0,0 - 0,0,10000,0,,1.0,,7,Deuce,Player2,,,,,,,,,,0,127.1892115047462,-467.26217191576916,Crosscourt,Forehand,,,,,,,,,,-81.20176071736837,336.2121281713048,,,,,,,,,,,,,,,,,,,,Matka Komac,7,in_play,Forehand,Flat,45.139603,1,1,1,deep,deuce,far,-2.121454,20.670982,deep,deuce,near,3.322909,-0.320358,0.187901,cross court,In,False,02:39:54,,Matka KomacForehand
0 - 0,0 - 0,0 - 0,0,11000,0,,1.0,,8,Deuce,Player1,,,,,,,,,,0,-81.20176071736837,382.48026027976744,Crosscourt,,,1,,,,,,,,18.218870297453407,-264.553187882628,,,,,,,,,,,,,,,,,,,,Elise Wagle,8,in_play,FH Volley,Flat,23.382744,1,1,1,deep,deuce,near,0.475981,4.975559,deep,deuce,far,-2.121454,21.87977,2.2229,cross court,In,False,02:39:55,,Elise WagleFH Volley
0 - 0,0 - 0,0 - 0,0,12000,0,,1.0,,9,Deuce,Player2,,,,,,,,,,0,35.1735072178296,-468.4165135605629,Down the Line,Forehand,,,,,,,,,,109.96556758524503,272.548529089973,,,,,,,,,,,,,,,,,,,,Matka Komac,9,in_play,Forehand,Topspin,58.601009,1,1,1,deep,ad,far,2.872929,19.007725,deep,deuce,near,0.918933,-0.350516,0.584687,down the line,In,False,02:39:56,,Matka KomacForehand
0 - 0,0 - 0,0 - 0,0,14000,0,,1.0,,10,Ad,Player1,,,,,,,,,,0,114.5857283463975,551.7741579174752,Crosscourt,Backhand,,,,,,,,,,-34.154549431303444,-93.77703412068647,,,,,,,,,,,,,,,,,,,,Elise Wagle,10,in_play,Backhand,Flat,59.171738,1,1,1,short,ad,near,-0.892312,9.437208,out,ad,far,2.993634,26.302694,0.86266,cross court,In,False,02:39:58,,Elise WagleBackhand
