pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
0-0,0-0,0-0,1,84051,,,,,1,Deuce,Govind Nanda,Far,1,T,48,-183,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
0-0,0-0,0-0,,84052,,,,,2,Deuce,Govind Nanda,Far,,,,,,,,,,99,-506,Down the Line,Backhand,,,,,,,,,,27,437,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
0-0,0-0,0-0,,85903,,,,,3,Ad,Govind Nanda,Far,,,,,,,,,,0,485,Down the Line,Backhand,,,,,,,,,,-122,-264,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
0-0,0-0,0-0,,87531,,,,,4,Ad,Govind Nanda,Far,,,,,,,,,,-98,-370,Crosscourt,Backhand,,,,1,,,,,,136,424,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
0-0,0-0,0-0,,88573,1,,,,5,Ad,Govind Nanda,Far,,,,,,,,,,152,464,Down the Line,Backhand,,,,,,,,,,206,3,,,1,1,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
0-15,0-0,0-0,1,88574,,,,,1,Ad,Govind Nanda,Far,0,Wide,-160,-281,1,T,-48,-240,,,,,,,,,,,,,,,,,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
0-15,0-0,0-0,,118454,,,,,2,Ad,Govind Nanda,Far,,,,,,,,,,-24,-434,Down the Line,Forehand,,,,,,,,,,-77,234,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
0-15,0-0,0-0,,119302,,,,,3,Deuce,Govind Nanda,Far,,,,,,,,,,-37,466,Crosscourt,Forehand,,,,,,,,,,83,-314,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
0-15,0-0,0-0,,120884,,,,,4,Deuce,Govind Nanda,Far,,,,,,,,,,165,-533,Crosscourt,Forehand,,,,,,,,,,-2,269,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
0-15,0-0,0-0,,122358,,,,,5,Deuce,Govind Nanda,Far,,,,,,,,,,-10,472,Down the Line,Forehand,,,,,,,,,,-130,-344,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
0-15,0-0,0-0,,123769,,,,,6,Ad,Govind Nanda,Far,,,,,,,,,,-234,-536,Crosscourt,Backhand,,,,,,,,,,35,272,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
0-15,0-0,0-0,,125050,,,,,7,Ad,Govind Nanda,Far,,,,,,,,,,91,482,Down the Line,Forehand,,,,,,,,,,136,-298,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
0-15,0-0,0-0,,128020,1,,,,8,Deuce,Govind Nanda,Far,,,,,,,,,,296,-536,Down the Line,Forehand,,,,,,,,,,232,0,,1,,1,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-15,0-0,0-0,1,128021,,,,,1,Deuce,Govind Nanda,Far,1,T,43,-236,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-15,0-0,0-0,,155530,,,,,2,Deuce,Govind Nanda,Far,,,,,,,,,,86,-488,Crosscourt,Backhand,,,,,1,,,,,-15,285,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-15,0-0,0-0,,156552,,,,,3,Ad,Govind Nanda,Far,,,,,,,,,,38,309,Down the Line,Forehand,,,,1,,,,,,110,-378,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-15,0-0,0-0,,159402,,,,,4,Deuce,Govind Nanda,Far,,,,,,,,,,216,-538,Down the Line,Forehand,,,,,,,,,,112,80,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-15,0-0,0-0,,159403,1,,,,5,Ad,Govind Nanda,Far,,,,,,,,,,43,59,Down the Line,Backhand,,1,,,,,,1,,134,0,,,,1,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,1,159404,,,,,1,Ad,Govind Nanda,Far,1,T,-48,-222,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,,187208,,,,,2,Ad,Govind Nanda,Far,,,,,,,,,,-93,-514,Down the Line,Forehand,,,,,,,,,,-125,266,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,,188478,,,,,3,Deuce,Govind Nanda,Far,,,,,,,,,,-120,466,Down the Line,Forehand,,,,,1,,,,,-133,-392,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,,190445,,,,,4,Ad,Govind Nanda,Far,,,,,,,,,,-120,-496,Crosscourt,Backhand,,,,,,,,,,88,234,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,,191630,,,,,5,Ad,Govind Nanda,Far,,,,,,,,,,123,464,Crosscourt,Backhand,,,,,1,,,,,-109,-269,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,,193534,,,,,6,Ad,Govind Nanda,Far,,,,,,,,,,-117,-370,Down the Line,Backhand,,,,,,,,,,-71,413,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,,195716,,,,,7,Deuce,Govind Nanda,Far,,,,,,,,,,-64,464,Down the Line,Forehand,,,,,,,,,,-87,-147,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,,195717,,,,,8,Ad,Govind Nanda,Far,,,,,,,,,,-74,-168,Crosscourt,Backhand,,1,,,,,,1,,80,296,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,,197753,,,,,9,Ad,Govind Nanda,Far,,,,,,,,,,131,477,Crosscourt,Backhand,,,,,,,,1,,-31,-24,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-30,0-0,0-0,,197754,1,,,,10,Ad,Govind Nanda,Far,,,,,,,,,,-50,-24,Down the Line,Forehand,,1,,,,,,1,,-71,-19,1,,,1,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-40,0-0,0-0,1,225473,,,,,1,Deuce,Govind Nanda,Far,1,Body,102,-233,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
15-40,0-0,0-0,,232658,1,,,,2,Deuce,Govind Nanda,Far,,,,,,,,,,192,-448,Crosscourt,Forehand,,,,,,,,,,-343,349,,,1,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
