pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Govind Nanda,Nishesh Basavareddy,0-0,0-0,0-0,,Deuce,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,84051.0,,,5,5-8,1,0,1st Serve In,T,T,,False,Far,48.0,-183.0,,,Down the Line,Backhand,Wide Left,,Down the Line,Backhand,Govind Nanda,Error,Nishesh Basavareddy,,False,,,1,0,0,0,0,0,0,,,1,1st Serve In,Deuce: T,,,Down the Line,Backhand,Error,,,Down the Line,Backhand,,,,0.0,2.0,1.0,0.0,"Set 1: 0-0, 0-0 Govind Nanda Serving"
2,Govind Nanda,Nishesh Basavareddy,0-15,0-0,0-0,,Ad,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,88574.0,,,8,5-8,0,1,2nd Serve In,T,Wide,T,False,Far,-160.0,-281.0,-48.0,-240.0,Down the Line,Forehand,Wide Right,,Down the Line,Forehand,Nishesh Basavareddy,Error,Govind Nanda,0.0,False,,,1,0,0,0,0,0,15,,,1,2nd Serve In,Ad: T,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,0.0,0.0,3.0,3.0,"Set 1: 0-0, 0-15 Govind Nanda Serving"
3,Govind Nanda,Nishesh Basavareddy,15-15,0-0,0-0,,Deuce,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,128021.0,,,5,5-8,1,0,1st Serve In,T,T,,False,Far,43.0,-236.0,,,Crosscourt,Backhand,Net,,Down the Line,Backhand,Govind Nanda,Error,Nishesh Basavareddy,0.0,False,Govind Nanda,Nishesh Basavareddy,1,0,0,0,0,15,15,,,1,1st Serve In,Deuce: T,,,Down the Line,Backhand,Error,,,Crosscourt,Backhand,,,,1.0,0.0,0.0,2.0,"Set 1: 0-0, 15-15 Govind Nanda Serving"
4,Govind Nanda,Nishesh Basavareddy,15-30,0-0,0-0,,Ad,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,159404.0,,,10,9-12,1,0,1st Serve In,T,T,,False,Far,-48.0,-222.0,,,Down the Line,Forehand,Net,,Down the Line,Forehand,Nishesh Basavareddy,Winner,Govind Nanda,0.0,False,,Nishesh Basavareddy,1,0,0,0,0,15,30,,,1,1st Serve In,Ad: T,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Winner,1.0,1.0,3.0,3.0,"Set 1: 0-0, 15-30 Govind Nanda Serving"
5,Govind Nanda,Nishesh Basavareddy,15-40,0-0,0-0,,Deuce,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,225473.0,,,2,1-4,1,0,1st Serve In,Body,Body,,False,Far,102.0,-233.0,,,Crosscourt,Forehand,Wide Left,Wide Left,Crosscourt,Forehand,Nishesh Basavareddy,Error,Govind Nanda,0.0,True,,,1,0,0,0,0,15,40,,,1,1st Serve In,Deuce: Body,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,0.0,0.0,0.0,0.0,"Set 1: 0-0, 15-40 Govind Nanda Serving"
6,Govind Nanda,Nishesh Basavareddy,30-40,0-0,0-0,,Ad,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,239811.0,,,3,1-4,1,0,1st Serve In,Body,Body,,False,Far,-98.0,-225.0,,,Down the Line,Backhand,Net,,Down the Line,Forehand,Govind Nanda,Error,Nishesh Basavareddy,0.0,True,,,1,0,0,0,0,30,40,,,1,1st Serve In,Ad: Body,,,Down the Line,Forehand,Error,,,Down the Line,Backhand,,,,0.0,0.0,0.0,1.0,"Set 1: 0-0, 30-40 Govind Nanda Serving"
7,Govind Nanda,Nishesh Basavareddy,0-0,0-1,0-0,,Deuce,Nishesh Basavareddy,Govind Nanda,UCLA,Stanford,352604.0,,,1,1-4,0,0,Double Fault,Body,Wide,Body,False,Far,168.0,-236.0,62.0,0.0,,,,,,,Nishesh Basavareddy,,Govind Nanda,0.0,False,,,1,0,0,0,1,0,0,,,2,,,,,,,,Double Fault,Deuce: Body,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-1, 0-0 Nishesh Basavareddy Serving"
8,Govind Nanda,Nishesh Basavareddy,15-0,0-1,0-0,,Ad,Nishesh Basavareddy,Govind Nanda,UCLA,Stanford,366522.0,,,3,1-4,1,0,1st Serve In,T,T,,False,Far,-50.0,-214.0,,,Down the Line,Forehand,Wide Left,,Crosscourt,Forehand,Nishesh Basavareddy,Error,Govind Nanda,0.0,False,,,1,0,0,0,1,15,0,,,2,,,Down the Line,Forehand,,,,1st Serve In,Ad: T,,,Crosscourt,Forehand,Error,0.0,0.0,1.0,0.0,"Set 1: 0-1, 15-0 Nishesh Basavareddy Serving"
9,Govind Nanda,Nishesh Basavareddy,30-0,0-1,0-0,,Deuce,Nishesh Basavareddy,Govind Nanda,UCLA,Stanford,409229.0,,,11,9-12,1,0,1st Serve In,T,T,,False,Far,22.0,-225.0,,,Down the Line,Backhand,Long,,Down the Line,Backhand,Nishesh Basavareddy,Error,Govind Nanda,0.0,False,,,1,0,0,0,1,30,0,,,2,,,Down the Line,Backhand,,,,1st Serve In,Deuce: T,,,Down the Line,Backhand,Error,0.0,2.0,5.0,2.0,"Set 1: 0-1, 30-0 Nishesh Basavareddy Serving"
10,Govind Nanda,Nishesh Basavareddy,40-0,0-1,0-0,,Ad,Nishesh Basavareddy,Govind Nanda,UCLA,Stanford,453646.0,,,6,5-8,1,0,1st Serve In,Wide,Wide,,False,Far,-136.0,-129.0,,,Crosscourt,Backhand,Wide Left,,Down the Line,Backhand,Govind Nanda,Error,Nishesh Basavareddy,0.0,False,,Nishesh Basavareddy,1,0,0,0,1,40,0,,,2,,,Crosscourt,Backhand,Down the Line,Backhand,Error,1st Serve In,Ad: Wide,,,,,,0.0,1.0,2.0,1.0,"Set 1: 0-1, 40-0 Nishesh Basavareddy Serving"
