pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,84051,,,1,,1,Deuce,Govind Nanda,Far,1.0,T,48.0,-183.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/12/24,Division 1,Dual-Match,1,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,,,,,1st Serve In,T,
0-0,0-0,0-0,,84052,,,1,,2,Deuce,Govind Nanda,Far,,,,,,,,,,99.0,-506.0,Down the Line,Backhand,,,,,,,,,,27.0,437.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Nishesh Basavareddy,,1.0,,,,,,Deep
0-0,0-0,0-0,,85903,,,1,,3,Ad,Govind Nanda,Far,,,,,,,,,,0.0,485.0,Down the Line,Backhand,,,,,,,,,,-122.0,-264.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,,,,,,,Short
0-0,0-0,0-0,,87531,,,1,,4,Ad,Govind Nanda,Far,,,,,,,,,,-98.0,-370.0,Crosscourt,Backhand,,,,1.0,,,,,,136.0,424.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Nishesh Basavareddy,,,,,,,,Deep
0-0,0-0,0-0,,88573,1.0,,1,,5,Ad,Govind Nanda,Far,,,,,,,,,,152.0,464.0,Down the Line,Backhand,,,,,,,,,,206.0,3.0,,,1.0,1.0,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,,,Nishesh Basavareddy,1,,,
0-15,0-0,0-0,1.0,88574,,,2,,1,Ad,Govind Nanda,Far,0.0,Wide,-160.0,-281.0,1.0,T,-48.0,-240.0,,,,,,,,,,,,,,,,,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,,,,,2nd Serve In,T,
0-15,0-0,0-0,,118454,,,2,,2,Ad,Govind Nanda,Far,,,,,,,,,,-24.0,-434.0,Down the Line,Forehand,,,,,,,,,,-77.0,234.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Nishesh Basavareddy,,1.0,,,,,,Short
0-15,0-0,0-0,,119302,,,2,,3,Deuce,Govind Nanda,Far,,,,,,,,,,-37.0,466.0,Crosscourt,Forehand,,,,,,,,,,83.0,-314.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,,,,,,,Short
0-15,0-0,0-0,,120884,,,2,,4,Deuce,Govind Nanda,Far,,,,,,,,,,165.0,-533.0,Crosscourt,Forehand,,,,,,,,,,-2.0,269.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Nishesh Basavareddy,,,,,,,,Short
0-15,0-0,0-0,,122358,,,2,,5,Deuce,Govind Nanda,Far,,,,,,,,,,-10.0,472.0,Down the Line,Forehand,,,,,,,,,,-130.0,-344.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Nishesh Basavareddy,Govind Nanda,,,,,,,,Short
