pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Rudy Quan,Aristotelis Thanos,0-0,0-0,0-0,,Deuce,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,50950.0,88104.0,37154.0,24,13+,1,0,1st Serve In,T,T,,False,Near,-36.0,206.0,,,Down the Line,Backhand,Net,,Down the Line,Backhand,Aristotelis Thanos,Error,Rudy Quan,,False,,,1,0,0,0,0,0,0,,,1,1st Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,3.0,10.0,8.0,1.0,"Set 1: 0-0, 0-0 Rudy Quan Serving"
2,Rudy Quan,Aristotelis Thanos,15-0,0-0,0-0,,Ad,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,116419.0,128088.0,11669.0,7,5-8,1,0,1st Serve In,Body,Body,,False,Near,71.0,193.0,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Rudy Quan,Error,Aristotelis Thanos,0.0,False,,,1,0,0,0,0,15,0,,,1,1st Serve In,Ad: Body,,,Down the Line,Forehand,Error,,,Crosscourt,Backhand,,,,1.0,2.0,2.0,0.0,"Set 1: 0-0, 15-0 Rudy Quan Serving"
3,Rudy Quan,Aristotelis Thanos,15-15,0-0,0-0,,Deuce,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,151942.0,174338.0,22396.0,5,5-8,1,0,1st Serve In,Wide,Wide,,False,Near,-113.0,182.0,,,Down the Line,Forehand,Wide Right,,Crosscourt,Backhand,Rudy Quan,Error,Aristotelis Thanos,0.0,False,,,1,0,0,0,0,15,15,,,1,1st Serve In,Deuce: Wide,,,Crosscourt,Backhand,Error,,,Down the Line,Forehand,,,,1.0,3.0,3.0,0.0,"Set 1: 0-0, 15-15 Rudy Quan Serving"
4,Rudy Quan,Aristotelis Thanos,15-30,0-0,0-0,,Ad,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,203892.0,225230.0,21338.0,14,13+,1,0,1st Serve In,T,T,,False,Near,47.0,227.0,,,Crosscourt,Forehand,Net,,Crosscourt,Backhand,Aristotelis Thanos,Error,Rudy Quan,0.0,False,,,1,0,0,0,0,15,30,,,1,1st Serve In,Ad: T,,,,,,,,Crosscourt,Forehand,Crosscourt,Backhand,Error,1.0,2.0,5.0,4.0,"Set 1: 0-0, 15-30 Rudy Quan Serving"
5,Rudy Quan,Aristotelis Thanos,30-30,0-0,0-0,,Deuce,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,253002.0,269670.0,16668.0,10,9-12,1,0,1st Serve In,T,T,,False,Near,-41.0,233.0,,,Down the Line,Backhand,Wide Left,,Crosscourt,Forehand,Aristotelis Thanos,Error,Rudy Quan,0.0,False,,,1,0,0,0,0,30,30,,,1,1st Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Crosscourt,Forehand,Error,1.0,3.0,3.0,1.0,"Set 1: 0-0, 30-30 Rudy Quan Serving"
6,Rudy Quan,Aristotelis Thanos,40-30,0-0,0-0,,Ad,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,291240.0,300743.0,9503.0,6,5-8,1,0,1st Serve In,Body,Body,,False,Near,84.0,211.0,,,Down the Line,Backhand,Net,,Crosscourt,Forehand,Aristotelis Thanos,Error,Rudy Quan,0.0,False,,,1,0,0,0,0,40,30,,,1,1st Serve In,Ad: Body,,,,,,,,Down the Line,Backhand,Crosscourt,Forehand,Error,0.0,2.0,2.0,0.0,"Set 1: 0-0, 40-30 Rudy Quan Serving"
7,Rudy Quan,Aristotelis Thanos,0-0,1-0,0-0,,Deuce,Aristotelis Thanos,Rudy Quan,UCLA,Michigan State University,364413.0,372741.0,8328.0,4,1-4,1,0,1st Serve In,T,T,,False,Near,-38.0,211.0,,,Down the Line,Backhand,Long,,Down the Line,Forehand,Rudy Quan,Error,Aristotelis Thanos,0.0,False,Rudy Quan,Aristotelis Thanos,1,0,0,1,0,0,0,,,2,,,Down the Line,Backhand,Down the Line,Forehand,Error,1st Serve In,Deuce: T,,,,,,0.0,0.0,1.0,1.0,"Set 1: 1-0, 0-0 Aristotelis Thanos Serving"
8,Rudy Quan,Aristotelis Thanos,15-0,1-0,0-0,,Ad,Aristotelis Thanos,Rudy Quan,UCLA,Michigan State University,392179.0,408844.0,16665.0,3,1-4,0,1,2nd Serve In,Body,T,Body,False,Near,20.0,273.0,63.0,137.0,Down the Line,Backhand,,,Crosscourt,Forehand,Aristotelis Thanos,Winner,Aristotelis Thanos,0.0,False,,,1,0,0,1,0,15,0,,,2,,,Down the Line,Backhand,,,,2nd Serve In,Ad: Body,,,Crosscourt,Forehand,Winner,0.0,0.0,1.0,1.0,"Set 1: 1-0, 15-0 Aristotelis Thanos Serving"
9,Rudy Quan,Aristotelis Thanos,30-0,1-0,0-0,,Deuce,Aristotelis Thanos,Rudy Quan,UCLA,Michigan State University,436625.0,452679.0,16054.0,9,9-12,1,0,1st Serve In,Body,Body,,False,Near,-89.0,211.0,,,Down the Line,Backhand,Net,,Crosscourt,Forehand,Aristotelis Thanos,Error,Rudy Quan,0.0,False,,,1,0,0,1,0,30,0,,,2,,,Down the Line,Backhand,,,,1st Serve In,Deuce: Body,,,Crosscourt,Forehand,Error,2.0,0.0,1.0,4.0,"Set 1: 1-0, 30-0 Aristotelis Thanos Serving"
10,Rudy Quan,Aristotelis Thanos,30-15,1-0,0-0,,Ad,Aristotelis Thanos,Rudy Quan,UCLA,Michigan State University,485908.0,493162.0,7254.0,3,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,127.0,217.0,,,Crosscourt,Backhand,Wide Right,,Crosscourt,Forehand,Aristotelis Thanos,Error,Rudy Quan,0.0,False,,,1,0,0,1,0,30,15,,,2,,,Crosscourt,Backhand,,,,1st Serve In,Ad: Wide,,,Crosscourt,Forehand,Error,0.0,0.0,0.0,1.0,"Set 1: 1-0, 30-15 Aristotelis Thanos Serving"
