pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,50950.0,,,1,,1,Deuce,Rudy Quan,Near,1.0,T,-36.0,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,,,1st Serve In,T,
0-0,0-0,0-0,,53917.0,,,1,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-76.0,473.0,Down the Line,Backhand,,,,,,,,,,-97.0,-369.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,1.0,,,,,,Deep
0-0,0-0,0-0,,55471.0,,,1,,3,Ad,Rudy Quan,Near,,,,,,,,,,-113.0,-543.0,Crosscourt,Forehand,,,,,,,,,,71.0,410.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,1.0,,,,,,,Deep
0-0,0-0,0-0,,56966.0,,,1,,4,Ad,Rudy Quan,Near,,,,,,,,,,148.0,476.0,Crosscourt,Backhand,,,,,,,,,,-132.0,-219.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Short
0-0,0-0,0-0,,58455.0,,,1,,5,Ad,Rudy Quan,Near,,,,,,,,,,-236.0,-516.0,Crosscourt,Backhand,,,,,,,,,,50.0,426.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,,,,,Deep
0-0,0-0,0-0,,60114.0,,,1,,6,Ad,Rudy Quan,Near,,,,,,,,,,74.0,487.0,Down the Line,Forehand,,,,,,,,,,44.0,-297.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,1.0,,,,,,Short
0-0,0-0,0-0,,61281.0,,,1,,7,Deuce,Rudy Quan,Near,,,,,,,,,,74.0,-575.0,Crosscourt,Forehand,,,,,,,,,,-86.0,429.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,,,,,Deep
0-0,0-0,0-0,,62774.0,,,1,,8,Deuce,Rudy Quan,Near,,,,,,,,,,-86.0,511.0,Crosscourt,Forehand,,,,,,,,,,4.0,-382.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Deep
0-0,0-0,0-0,,64093.0,,,1,,9,Deuce,Rudy Quan,Near,,,,,,,,,,68.0,-556.0,Down the Line,Forehand,,,,,,,,,,23.0,359.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Rudy Quan,,,,,,,,Deep
0-0,0-0,0-0,,65321.0,,,1,,10,Deuce,Rudy Quan,Near,,,,,,,,,,-22.0,495.0,Crosscourt,Forehand,,,,,,,,,,74.0,-291.0,,,,,,UCLA,9/25/25,Division 1,ITA All-American Championships,,,"Tulsa, Oklaholma",Michigan State University,Rudy Quan,Aristotelis Thanos,Right,Right,Main Draw Round 1,Hard,,,Aristotelis Thanos,Aristotelis Thanos,,,,,,,,Short
