pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
0-0,0-0,0-0,1,50950,,,,,1,Deuce,Rudy Quan,Near,1,T,-36,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,53917,,,,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-76,473,Down the Line,Backhand,,,,,,,,,,-97,-369,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,55471,,,,,3,Ad,Rudy Quan,Near,,,,,,,,,,-113,-543,Crosscourt,Forehand,,,,,,,,,,71,410,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,56966,,,,,4,Ad,Rudy Quan,Near,,,,,,,,,,148,476,Crosscourt,Backhand,,,,,,,,,,-132,-219,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,58455,,,,,5,Ad,Rudy Quan,Near,,,,,,,,,,-236,-516,Crosscourt,Backhand,,,,,,,,,,50,426,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,60114,,,,,6,Ad,Rudy Quan,Near,,,,,,,,,,74,487,Down the Line,Forehand,,,,,,,,,,44,-297,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,61281,,,,,7,Deuce,Rudy Quan,Near,,,,,,,,,,74,-575,Crosscourt,Forehand,,,,,,,,,,-86,429,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,62774,,,,,8,Deuce,Rudy Quan,Near,,,,,,,,,,-86,511,Crosscourt,Forehand,,,,,,,,,,4,-382,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,64093,,,,,9,Deuce,Rudy Quan,Near,,,,,,,,,,68,-556,Down the Line,Forehand,,,,,,,,,,23,359,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,65321,,,,,10,Deuce,Rudy Quan,Near,,,,,,,,,,-22,495,Crosscourt,Forehand,,,,,,,,,,74,-291,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,66632,,,,,11,Deuce,Rudy Quan,Near,,,,,,,,,,122,-543,Down the Line,Forehand,,,,,,,,,,87,399,,,,,,,,,,,,,,,,,,,,
