pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
1,Rudy Quan,Youcef Rihane,0-0,0-0,0-0,,Deuce,Rudy Quan,Youcef Rihane,UCLA,Florida State University,12000.0,17000.0,5000.0,15,13+,1,0,1st Serve In,T,T,,False,Far,14.37931977,-198.3923939,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Rudy Quan,Error,Youcef Rihane,,False,,,1,0,0,0,0,0,0,,,1,1st Serve In,Deuce: T,,,Down the Line,Forehand,Error,,,Crosscourt,Backhand,,,,3.0,0.0,3.0,6.0,"Set 1: 0-0, 0-0 Rudy Quan Serving"
2,Rudy Quan,Youcef Rihane,0-15,0-0,0-0,,Ad,Rudy Quan,Youcef Rihane,UCLA,Florida State University,56000.0,50000.0,-6000.0,6,5-8,1,0,1st Serve In,Body,Body,,False,Far,-91.1540245,-230.8234307,,,Down the Line,Backhand,,,Down the Line,Backhand,Youcef Rihane,Winner,Youcef Rihane,0.0,False,,,1,0,0,0,0,0,15,,,1,1st Serve In,Ad: Body,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Winner,0.0,1.0,2.0,2.0,"Set 1: 0-0, 0-15 Rudy Quan Serving"
3,Rudy Quan,Youcef Rihane,0-30,0-0,0-0,,Deuce,Rudy Quan,Youcef Rihane,UCLA,Florida State University,84000.0,77000.0,-7000.0,5,5-8,1,0,1st Serve In,Wide,Wide,,False,Far,154.4773075,-228.133131,,,Crosscourt,Forehand,Net,,Down the Line,Backhand,Rudy Quan,Error,Youcef Rihane,0.0,False,,,1,0,0,0,0,0,30,,,1,1st Serve In,Deuce: Wide,,,Down the Line,Backhand,Error,,,Crosscourt,Forehand,,,,0.0,2.0,1.0,0.0,"Set 1: 0-0, 0-30 Rudy Quan Serving"
4,Rudy Quan,Youcef Rihane,0-40,0-0,0-0,,Ad,Rudy Quan,Youcef Rihane,UCLA,Florida State University,113000.0,105000.0,-8000.0,4,1-4,1,0,1st Serve In,Body,Body,,False,Far,-97.85263561,-171.1208333,,,Crosscourt,Backhand,Net,,Down the Line,Backhand,Youcef Rihane,Error,Rudy Quan,0.0,True,,,1,0,0,0,0,0,40,,,1,1st Serve In,Ad: Body,,,,,,,,Crosscourt,Backhand,Down the Line,Backhand,Error,0.0,0.0,1.0,1.0,"Set 1: 0-0, 0-40 Rudy Quan Serving"
5,Rudy Quan,Youcef Rihane,15-40,0-0,0-0,,Deuce,Rudy Quan,Youcef Rihane,UCLA,Florida State University,138000.0,130000.0,-8000.0,4,1-4,1,0,1st Serve In,T,T,,False,Far,24.95870516,-209.6828412,,,Crosscourt,Backhand,,,Crosscourt,Backhand,Youcef Rihane,Winner,Youcef Rihane,0.0,True,,,1,0,0,0,0,15,40,,,1,1st Serve In,Deuce: T,,,,,,,,Crosscourt,Backhand,Crosscourt,Backhand,Winner,0.0,1.0,1.0,1.0,"Set 1: 0-0, 15-40 Rudy Quan Serving"
6,Rudy Quan,Youcef Rihane,0-0,0-1,0-0,,Deuce,Youcef Rihane,Rudy Quan,UCLA,Florida State University,196000.0,187000.0,-9000.0,4,1-4,0,0,Double Fault,,Wide,,False,Far,130.625864,-255.0690453,,,Down the Line,Forehand,Wide Right,,Down the Line,Forehand,Rudy Quan,Error,Youcef Rihane,0.0,False,,,1,0,0,0,1,0,0,,,2,,,Down the Line,Forehand,Down the Line,Forehand,Error,Double Fault,,,,,,,0.0,0.0,1.0,1.0,"Set 1: 0-1, 0-0 Youcef Rihane Serving"
7,Rudy Quan,Youcef Rihane,15-0,0-1,0-0,,Ad,Youcef Rihane,Rudy Quan,UCLA,Florida State University,215000.0,211000.0,-4000.0,7,5-8,1,0,1st Serve In,Body,Body,,False,Far,-90.94365704,-190.4781223,,,Down the Line,Backhand,Net,,Down the Line,Backhand,Youcef Rihane,Error,Rudy Quan,0.0,False,,,1,0,0,0,1,15,0,,,2,,,Down the Line,Backhand,,,,1st Serve In,Ad: Body,,,Down the Line,Backhand,Error,1.0,0.0,2.0,2.0,"Set 1: 0-1, 15-0 Youcef Rihane Serving"
8,Rudy Quan,Youcef Rihane,15-15,0-1,0-0,,Deuce,Youcef Rihane,Rudy Quan,UCLA,Florida State University,254000.0,251000.0,-3000.0,7,5-8,1,0,1st Serve In,T,T,,False,Far,27.49038714,-164.1918362,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Youcef Rihane,Error,Rudy Quan,0.0,False,,,1,0,0,0,1,15,15,,,2,,,Crosscourt,Backhand,,,,1st Serve In,Deuce: T,,,Down the Line,Forehand,Error,1.0,0.0,2.0,2.0,"Set 1: 0-1, 15-15 Youcef Rihane Serving"
9,Rudy Quan,Youcef Rihane,15-30,0-1,0-0,,Ad,Youcef Rihane,Rudy Quan,UCLA,Florida State University,289000.0,298000.0,9000.0,7,5-8,0,1,2nd Serve In,Wide,Body,Wide,False,Far,-55.49356409,1.242798556,-111.8560039,-151.8534175,Crosscourt,Backhand,Net,,Down the Line,Forehand,Youcef Rihane,Error,Rudy Quan,0.0,False,,,1,0,0,0,1,15,30,,,2,,,Crosscourt,Backhand,,,,2nd Serve In,Ad: Wide,,,Down the Line,Forehand,Error,2.0,1.0,1.0,1.0,"Set 1: 0-1, 15-30 Youcef Rihane Serving"
10,Rudy Quan,Youcef Rihane,15-40,0-1,0-0,,Deuce,Youcef Rihane,Rudy Quan,UCLA,Florida State University,336000.0,325000.0,-11000.0,2,1-4,1,0,1st Serve In,Body,Body,,False,Far,55.02502187,-169.4920549,,,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Rudy Quan,Error,Youcef Rihane,0.0,True,,,1,0,0,0,1,15,40,,,2,,,Down the Line,Backhand,Down the Line,Backhand,Error,1st Serve In,Deuce: Body,,,,,,0.0,0.0,0.0,0.0,"Set 1: 0-1, 15-40 Youcef Rihane Serving"
11,Rudy Quan,Youcef Rihane,30-40,0-1,0-0,,Ad,Youcef Rihane,Rudy Quan,UCLA,Florida State University,356000.0,364000.0,8000.0,9,9-12,0,1,2nd Serve In,Body,Wide,Body,False,Far,-165.1060696,-216.7471839,-88.72346894,-181.3916339,Crosscourt,Backhand,Net,,Down the Line,Forehand,Youcef Rihane,Error,Rudy Quan,0.0,True,,,1,0,0,0,1,30,40,,,2,,,Crosscourt,Backhand,,,,2nd Serve In,Ad: Body,,,Down the Line,Forehand,Error,2.0,0.0,2.0,3.0,"Set 1: 0-1, 30-40 Youcef Rihane Serving"
12,Rudy Quan,Youcef Rihane,0-0,1-1,0-0,,Deuce,Rudy Quan,Youcef Rihane,UCLA,Florida State University,414000.0,416000.0,2000.0,2,1-4,0,1,2nd Serve In,T,T,T,False,Near,-46.56523403,297.8676455,-19.79547791,179.6361986,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Youcef Rihane,Error,Rudy Quan,0.0,False,,,1,0,0,1,1,0,0,,,3,2nd Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,0.0,0.0,0.0,0.0,"Set 1: 1-1, 0-0 Rudy Quan Serving"
13,Rudy Quan,Youcef Rihane,15-0,1-1,0-0,,Ad,Rudy Quan,Youcef Rihane,UCLA,Florida State University,447000.0,441000.0,-6000.0,6,5-8,1,0,1st Serve In,Body,Body,,False,Near,87.04278762,229.6965715,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Youcef Rihane,Error,Rudy Quan,0.0,False,,,1,0,0,1,1,15,0,,,3,1st Serve In,Ad: Body,,,,,,,,Crosscourt,Backhand,Down the Line,Forehand,Error,0.0,1.0,2.0,1.0,"Set 1: 1-1, 15-0 Rudy Quan Serving"
14,Rudy Quan,Youcef Rihane,30-0,1-1,0-0,,Deuce,Rudy Quan,Youcef Rihane,UCLA,Florida State University,475000.0,467000.0,-8000.0,5,5-8,1,0,1st Serve In,T,T,,False,Near,-11.58031496,219.2470965,,,Down the Line,Backhand,,,Crosscourt,Forehand,Rudy Quan,Winner,Rudy Quan,0.0,False,Rudy Quan,,1,0,0,1,1,30,0,,,3,1st Serve In,Deuce: T,,,Crosscourt,Forehand,Winner,,,Down the Line,Backhand,,,,0.0,0.0,2.0,2.0,"Set 1: 1-1, 30-0 Rudy Quan Serving"
