pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick
0-0,0-0,0-0,1,12000,,,,,1,Deuce,Player1,Far,1,T,14.37931977,-198.3923939,,,,,,-60.75711395,418.3972496,,,,,,,,,,,,,,,,,,,,,,,,,,,Rudy Quan,Youcef Rihane,,,,,,,1,
0-0,0-0,0-0,,13000,,,,,2,Deuce,Player1,Far,,,,,,,,,,51.25984252,-515.9853182,Crosscourt,Backhand,,,,,,,,,,-36.29523731,273.5943952,,,,,,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,14000,,,,,3,Deuce,Player1,Far,,,,,,,,,,-59.90875437,470.9614392,Down the Line,Forehand,,,,,,,,,,-66.11891951,-420.3168143,,,,,,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,15000,,,,,4,Ad,Player1,Far,,,,,,,,,,-73.87855424,-516.0581201,Crosscourt,Backhand,,,,,,,,,,107.4965825,480.4070374,,,,,1,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,16000,,,,,5,Ad,Player1,Far,,,,,,,,,,107.4965825,469.2093723,Crosscourt,Backhand,,,,,,,,,,-78.07545385,-274.5729713,,,,,,,,,,,,,,,,,,,,,,1,
0-0,0-0,0-0,,18000,,,,,6,Ad,Player1,Far,,,,,,,,,,-115.4360783,-503.7868766,Crosscourt,Backhand,,,,,,,,,,81.65610236,313.5024333,,,,,,,,,,,,,,,,,,,,,,1,
0-0,0-0,0-0,,19000,,,,,7,Ad,Player1,Far,,,,,,,,,,124.5998469,510.4739283,Crosscourt,Backhand,,,,,,,,,,-151.278505,-344.3289972,,,,,,,,,,,,,,,,,,,,,,1,
0-0,0-0,0-0,,21000,,,,,8,Ad,Player1,Far,,,,,,,,,,-188.9605752,-527.726892,Crosscourt,Backhand,,,,,,,,,,52.81612533,269.6392881,,,,,,,,,,,,,,,,,,,,,,1,
0-0,0-0,0-0,,22000,,,,,9,Ad,Player1,Far,,,,,,,,,,112.4673939,496.6674923,Down the Line,Backhand,,,,,,,,,,28.5466262,-349.4056813,,,,,,,,,,,,,,,,,,,,,,1,
0-0,0-0,0-0,,23000,,,,,10,Deuce,Player1,Far,,,,,,,,,,10.40300744,-496.9409394,Crosscourt,Forehand,,,,,,,,,,-17.95629374,25.83355206,,,,,,,,,,,,,,,,,,,,,1,,
