pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick
0-0,0-0,0-0,1,0,,,1,,1,Deuce,Player1,Far,1.0,T,14.379319772521006,-198.3923939194076,,,,,,-60.7571139544743,418.3972495623386,,,,,,,,,,,,,,,,,,,,,,,,,,,Rudy Quan,Youcef Rihane,,,,,,,1,
0-0,0-0,0-0,,1000,,,1,,2,Deuce,Player1,Far,,,,,,,,,,51.259842519658555,-515.9853182412032,Crosscourt,Backhand,,,,,,,,,,-36.295237314066995,273.5943952317047,,,,,,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,2000,,,1,,3,Deuce,Player1,Far,,,,,,,,,,-59.908754374422244,470.9614391948573,Down the Line,Forehand,,,,,,,,,,-66.11891951002708,-420.31681430424476,,,,,,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,3000,,,1,,4,Ad,Player1,Far,,,,,,,,,,-73.87855424318143,-516.0581200784735,Crosscourt,Backhand,,,,,,,,,,107.49658245838717,480.4070374013266,,,,,1.0,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,4000,,,1,,5,Ad,Player1,Far,,,,,,,,,,107.49658245838717,469.20937226572437,Crosscourt,Backhand,,,,,,,,,,-78.07545384947848,-274.57297134718976,,,,,,,,,,,,,,,,,,,,,,1,
0-0,0-0,0-0,,6000,,,1,,6,Ad,Player1,Far,,,,,,,,,,-115.43607830265252,-503.7868766401597,Crosscourt,Backhand,,,,,,,,,,81.65610236216254,313.50243328942685,,,,,,,,,,,,,,,,,,,,,,1,
0-0,0-0,0-0,,7000,,,1,,7,Ad,Player1,Far,,,,,,,,,,124.59984689407386,510.47392825870395,Crosscourt,Backhand,,,,,,,,,,-151.27850503054302,-344.3289971564276,,,,,,,,,,,,,,,,,,,,,,1,
0-0,0-0,0-0,,9000,,,1,,8,Ad,Player1,Far,,,,,,,,,,-188.9605752404973,-527.7268919507335,Crosscourt,Backhand,,,,,,,,,,52.8161253280567,269.63928805760355,,,,,,,,,,,,,,,,,,,,,,1,
0-0,0-0,0-0,,10000,,,1,,9,Ad,Player1,Far,,,,,,,,,,112.46739391945196,496.6674923444503,Down the Line,Backhand,,,,,,,,,,28.54662620295988,-349.40568132090436,,,,,,,,,,,,,,,,,,,,,,1,
0-0,0-0,0-0,,11000,,,1,,10,Deuce,Player1,Far,,,,,,,,,,10.403007436565055,-496.9409394135665,Crosscourt,Forehand,,,,,,,,,,-17.956293744522657,25.833552055979663,,,,,,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,13000,,,1,,11,Deuce,Player1,Far,,,,,,,,,,-87.52449693783754,510.19443350804795,Crosscourt,Forehand,,,,,,,,,,73.90339566925316,-375.1528433943819,,,,,,,,,,,,,,,,,,,,,,1,
0-0,0-0,0-0,,14000,,,1,,12,Deuce,Player1,Far,,,,,,,,,,72.61803368325208,-473.2868875763084,Crosscourt,Forehand,,,,,,,,,,-58.18972003496557,246.44168307073886,,,,,,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,15000,,,1,,13,Deuce,Player1,Far,,,,,,,,,,-111.82565069985473,479.8952810583698,Crosscourt,Forehand,,,,,,,,,,33.78120078738412,-362.2183453628925,,,,,,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,16000,,,1,,14,Deuce,Player1,Far,,,,,,,,,,29.81847659666001,-475.1798884511981,Crosscourt,Forehand,,,,,,,,,,-103.54025043739183,278.4663003060678,,,,,,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,17000,1,17000,1,,15,Deuce,Player1,Far,,,,,,,,,,-164.62390091855013,542.4868711720733,Down the Line,Forehand,,,,,,,,,,-117.02600612417402,19.419449912500877,,,,1.0,,,,,,,,,,,,,,,,,,1,
0-15,0-0,0-0,1,44000,,,2,,1,Ad,Player1,Far,1.0,Body,-91.15402449689078,-230.82343066479766,,,,,,11.030703193345134,435.6057742779902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0-15,0-0,0-0,,45000,,,2,,2,Ad,Player1,Far,,,,,,,,,,-165.8885553367472,-531.2888232718166,Down the Line,Backhand,,,,,,,,,,-38.65494313208851,262.8775590549823,,,,,,,,,,,,,,,,,,,,,,1,
0-15,0-0,0-0,,46000,,,2,,3,Deuce,Player1,Far,,,,,,,,,,-32.633978565162494,512.4946576987729,Crosscourt,Forehand,,,,,,,,,,118.19940944875783,-329.46402559038097,,,,,,,,,,,,,,,,,,,,,1,,
0-15,0-0,0-0,,47000,,,2,,4,Deuce,Player1,Far,,,,,,,,,,147.0925142168969,-529.3924540679681,Crosscourt,Forehand,,,,,,,,,,-135.67831911629037,383.68034230076415,,,,,,,,,,,,,,,,,,,,,,1,
0-15,0-0,0-0,,49000,,,2,,5,Deuce,Player1,Far,,,,,,,,,,-153.34593175845097,540.0847933068076,Down the Line,Forehand,,,,,,,,,,-95.29010279960082,-232.05857392813908,,,,,,,,,,,,,,,,,,,,,1,,
0-15,0-0,0-0,,50000,1,50000,2,,6,Ad,Player1,Far,,,,,,,,,,-81.67960411194382,-418.2891568239309,Down the Line,Backhand,,,,,,,,,,-146.38126093605737,289.70205052478474,1.0,,,,,,,,,,,,,,,,,,,,1,,
0-30,0-0,0-0,1,72000,,,3,,1,Deuce,Player1,Far,1.0,Wide,154.47730752397968,-228.1331310147553,,,,,,-46.19609580050107,493.0853510496141,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-30,0-0,0-0,,73000,,,3,,2,Deuce,Player1,Far,,,,,,,,,,194.97461176717837,-478.30910433046154,Crosscourt,Forehand,,,,,,,,,,-15.786554024488783,430.11026902864916,,,,,,,,,,,,,,,,,,,,,1,,
0-30,0-0,0-0,,74000,,,3,,3,Deuce,Player1,Far,,,,,,,,,,-40.542432195954554,513.9569717845113,Crosscourt,Forehand,,,,,,,,,,81.90562664037763,-211.2213254592085,,,,,,,,,,,,,,,,,,,,,1,,
0-30,0-0,0-0,,76000,,,3,,4,Deuce,Player1,Far,,,,,,,,,,89.67839020117853,-381.50635389306626,Down the Line,Forehand,,,,,,,,,,137.8637904636208,367.34329615029145,,,,,,,,,,,,,,,,,,,,,1,,
0-30,0-0,0-0,,77000,1,77000,3,,5,Ad,Player1,Far,,,,,,,,,,140.27972440937634,526.5752296585206,Down the Line,Backhand,,,,,,,,,,46.03805227469188,216.17196522298542,,,,1.0,,,,,,,,,,,,,,,,,1,,
0-40,0-0,0-0,1,101000,,,4,1,1,Ad,Player1,Far,1.0,Body,-97.85263560799845,-171.12083333324492,,,,,,7.509076990372324,449.2709700347636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0-40,0-0,0-0,,103000,,,4,1,2,Ad,Player1,Far,,,,,,,,,,-160.1956966315883,-495.507906823891,Crosscourt,Backhand,,,,,,,,,,52.93420822394466,307.9741633856677,,,,,,,,,,,,,,,,,,,,,1,,
0-40,0-0,0-0,,104000,,,4,1,3,Ad,Player1,Far,,,,,,,,,,89.36081036740791,505.1394903759421,Crosscourt,Backhand,,,,,,,,,,-123.13937007867655,-225.21738298326073,,,,,,,,,,,,,,,,,,,,,,1,
0-40,0-0,0-0,,105000,1,105000,4,1,4,Ad,Player1,Far,,,,,,,,,,-173.67184492554458,-474.1466152665967,Down the Line,Backhand,,,,,,,,,,-66.974283683255,-36.01811570426835,,,,1.0,,,,,,,,,,,,,,,,,,1,
15-40,0-0,0-0,1,126000,,,5,1,1,Deuce,Player1,Far,1.0,T,24.958705161841873,-209.68284120724076,,,,,,-61.631042213441475,461.8852854328323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
15-40,0-0,0-0,,128000,,,5,1,2,Deuce,Player1,Far,,,,,,,,,,69.02770122481124,-529.8071412945644,Crosscourt,Backhand,,,,,,,,,,-21.122599518799237,281.8072998686209,,,,,,,,,,,,,,,,,,,,,1,,
15-40,0-0,0-0,,129000,,,5,1,3,Deuce,Player1,Far,,,,,,,,,,-59.31730643041555,510.37915573027,Down the Line,Forehand,,,,,,,,,,-98.04455380572364,-338.4663057741034,,,,,,,,,,,,,,,,,,,,,1,,
15-40,0-0,0-0,,130000,1,130000,5,1,4,Ad,Player1,Far,,,,,,,,,,-103.36827427816182,-549.3656878824809,Crosscourt,Backhand,,,,,,,,,,91.5939359142134,445.5584590986325,1.0,,,,,,,,,,,,,,,,,,,,,1,
