pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWide,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,PlayerServer
0 - 0,0.0 - 0.0,0.0 - 0.0,1,205800,0,,1.0,,1,Deuce,Player2,Far,1,Body,83.02927055988711,-263.2004593174493,,,,,0,-46.34920166226827,489.76605424296656,Crosscourt,,,,,,,,,,,83.02927055988711,-263.2004593174493,,,,,,,,,,,,,Aadarsh,Ferguson,,,,,,Ferguson,1,serve,Serve,Flat,103.576897,1,0,0,no_mans_land,deuce,near,2.169199,5.0109,no_mans_land,deuce,far,-1.210906,24.682688,2.615355,down the T,In,False,20:59:35,3.43,FergusonServe
0 - 0,0 - 0,0 - 0,0,277800,1,277800,1.0,,2,Deuce,Player1,,,,,,,,,,0,120.50824584420721,-512.7455216532784,Crosscourt,Forehand,,,,,,,,,,-105.63378171473109,486.16098534533063,,,,1,,,,,,,,,,,,,,,,Aadarsh,2,return,Forehand,Topspin,39.869968,1,0,0,out,deuce,far,-2.759758,24.588503,out,deuce,near,3.148364,-1.508643,0.389834,cross court,Out,False,20:59:36,4.63,AadarshForehand
0 - 15,0 - 0,0 - 0,1,1419600,0,,2.0,,1,Ad,Player2,Far,0,T,-41.30604768151847,235.99427493426128,,,,,0,36.69798228344561,469.2389216970454,Crosscourt,,,,,,,,,,,-41.30604768151847,235.99427493426128,,,1,,,,,,,,,,,,,,,,,Ferguson,1,serve,Serve,Flat,100.714119,2,0,0,service_box,deuce,far,-1.07915,18.052719,no_mans_land,ad,far,0.958761,24.146402,2.197161,out wide,Net,False,20:59:55,23.66,FergusonServe
0 - 15,0 - 0,0 - 0,0,1977000,0,,2.0,,1,Ad,Player2,Far,0,Body,-76.27156058613733,-190.04284230086418,1,Body,-76.27156058613733,-190.04284230086418,0,20.86943897636717,410.0666830706543,Crosscourt,,1,,,,,,,,,-76.27156058613733,-190.04284230086418,,,,,,,,,,,,,,,,,,,,Ferguson,1,serve,Serve,Slice,69.009476,3,0,0,service_box,ad,near,-1.992649,6.922195,no_mans_land,ad,far,0.545229,22.600485,2.588109,down the T,In,False,21:00:04,32.950001,FergusonServe
0 - 15,0 - 0,0 - 0,0,2034599,0,,2.0,,2,Ad,Player1,,,,,,,,,,0,-112.12137467185808,-436.69401246696606,Down the Line,Forehand,,,,,,,,,,-112.12137467185808,446.9715113733474,,,,,,,,,,,,,,,,,,,,Aadarsh,2,return,Forehand,Topspin,66.173218,3,0,0,no_mans_land,deuce,far,-2.929251,23.56465,no_mans_land,ad,near,-2.929251,0.478257,1.300041,inside in,In,False,21:00:05,33.91,AadarshForehand
0 - 15,0 - 0,0 - 0,0,2098200,0,,2.0,,3,Deuce,Player2,,,,,,,,,,0,-36.17780511809155,480.2323436130503,Crosscourt,Forehand,,,,,,,,,,54.143170384923906,-358.9300142167874,,,,,,,,,,,,,,,,,,,,Ferguson,3,serve_plus_one,Forehand,Topspin,49.600185,3,0,0,no_mans_land,deuce,near,1.414529,2.509897,no_mans_land,deuce,far,-0.945171,24.433613,1.174163,cross court,In,False,21:00:06,34.970001,FergusonForehand
0 - 15,0 - 0,0 - 0,0,2173800,0,,2.0,,4,Deuce,Player1,,,,,,,,,,0,66.17239173224928,-511.5533628606281,Down the Line,Forehand,,,,,,,,,,129.92789260710697,322.88223425180166,,,,,,,,,,,,,,,,,,,,Aadarsh,4,return_plus_one,Forehand,Topspin,46.239532,3,0,0,no_mans_land,ad,far,3.394459,20.322729,out,deuce,near,1.728801,-1.477497,1.03214,down the line,In,False,21:00:08,36.23,AadarshForehand
0 - 15,0 - 0,0 - 0,0,2284200,0,,2.0,,5,Ad,Player2,,,,,,,,,,0,146.93439413815682,552.3697014432842,Crosscourt,Backhand,,,,,,,,,,-105.17124890633237,-421.12685914238966,,,,,,,,,,,,,,,,,,,,Ferguson,5,in_play,Backhand,Topspin,70.694298,3,0,0,no_mans_land,ad,near,-2.747674,0.88496,out,ad,far,3.838766,26.318253,1.143115,cross court,In,False,21:00:10,38.07,FergusonBackhand
0 - 15,0 - 0,0 - 0,0,2347800,1,2347800,2.0,,6,Ad,Player1,,,,,,,,,,0,-144.83060476807916,-491.92722003474154,Down the Line,Backhand,1,,,,,,,,,-120.67631780396215,-42.65135061240144,,,1,,,,,,,,,,,,,,,,,Aadarsh,6,in_play,Backhand,Slice,45.224854,3,0,0,service_box,ad,near,-3.152755,10.772903,out,ad,near,-3.783803,-0.96475,1.108906,cross court,Net,False,21:00:11,39.130001,AadarshBackhand
0 - 30,0 - 0,0 - 0,1,3706799,0,,3.0,,1,Deuce,Player2,Far,0,T,46.32650371826128,-333.80890201207603,,,,,0,-34.0383038057567,456.0970417757924,Crosscourt,,,,,,,,,,,46.32650371826128,-333.80890201207603,,,,,,,,,,,,,,,,,,,,Ferguson,1,serve,Serve,Flat,112.58358,4,0,0,no_mans_land,deuce,near,1.210313,3.166204,no_mans_land,deuce,far,-0.889275,23.803061,2.617624,down the T,Out,False,21:00:33,61.779999,FergusonServe
