pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick
0-0,0-0,0-0,1,0,,,1,,1,Deuce,Player2,Near,0.0,T,14.501804461934766,186.5947451880051,1.0,T,-28.01645888012551,166.11530511802437,,30.738260061226466,-469.5338035868091,,,1,,,,,,,,,,,,,,,,,,,,,,,,Aadarsh Tripathi,Luca Staeheli,,,,,,,,
0-0,0-0,0-0,,11000,,,1,,2,Deuce,Player2,Near,,,,,,,,,,-52.1883147418803,489.59549431295795,Down the Line,Backhand,,,,,,,,,,-37.275995188082234,-175.74195100603345,,,,,,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,12000,,,1,,3,Ad,Player2,Near,,,,,,,,,,-22.33152340331305,-431.21894685017094,Crosscourt,Backhand,,,,,,,,,,78.33316929129812,327.885580708492,,,,,,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,13000,,,1,,4,Ad,Player2,Near,,,,,,,,,,91.86669400695166,516.3849628168812,Down the Line,Backhand,,,,,,,,,,29.131681977237797,-392.13098206453935,,,,,,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,15000,,,1,,5,Deuce,Player2,Near,,,,,,,,,,14.1627515310513,-500.9559109796187,Crosscourt,Forehand,,,,,,,,,,-97.30310039365052,285.54331255453314,,,,,,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,16000,,,1,,6,Deuce,Player2,Near,,,,,,,,,,-117.67490704280885,549.5728018369864,Crosscourt,Forehand,,,,,,,,,,72.81707130354944,-269.48101487300164,,,,,,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,17000,,,1,,7,Deuce,Player2,Near,,,,,,,,,,96.4200623359082,-484.7336176725405,Crosscourt,Forehand,,,,,,,,,,-101.42203083984262,280.0214730969681,,,,,,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,19000,,,1,,8,Deuce,Player2,Near,,,,,,,,,,-146.74710739275008,529.2530511808291,Crosscourt,Forehand,,,,,,,,,,36.67715988624527,-415.174371172139,,,,,,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,20000,,,1,,9,Deuce,Player2,Near,,,,,,,,,,42.76231408571719,-483.5470089673792,Down the Line,Forehand,,,,,,,,,,53.65227471563283,260.4923611109765,,,,,,,,,,,,,,,,,,,,,1,,
0-0,0-0,0-0,,21000,1,21000,1,,10,Ad,Player2,Near,,,,,,,,,,46.17676618545296,478.16093613273637,Crosscourt,Backhand,1,,,,,,,,,-34.07960411196839,-208.61649715649767,1.0,,,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,1,44000,,,2,,1,Ad,Player2,Near,1.0,T,34.51101815396292,185.62374781267752,,,,,,-30.323649387560888,-429.1679024494721,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,45000,,,2,,2,Ad,Player2,Near,,,,,,,,,,46.13125546804266,511.4182469376185,Crosscourt,Forehand,,,,,,,,,,-37.99490376201012,-257.19591535419784,,,,,,,,,,,,,,,,,,,,,1,,
15-0,0-0,0-0,,47000,1,47000,2,,3,Ad,Player2,Near,,,,,,,,,,-40.359394138211876,-453.56627843371143,Crosscourt,Forehand,,,,,,,,,,53.2567639982227,-21.1605697725175,,,,1.0,,,,,,,,,,,,,,,,,1,,
15-15,0-0,0-0,1,76000,,,3,,1,Deuce,Player2,Near,1.0,T,0.07750984251964499,173.45983158346246,,,,,,37.352203630776856,-473.6193569551359,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,77000,,,3,,2,Deuce,Player2,Near,,,,,,,,,,-23.97702865265603,541.0757327206304,Crosscourt,Backhand,,,,,,,,,,42.1101596675198,352.3813320208153,,,,1.0,,,,,,,,,,,,,,,,,,1,
15-15,0-0,0-0,,82000,1,82000,3,,3,Ad,Player2,Near,,,,,,,,,,15.89434055117289,34.542366579159726,Down the Line,Forehand,,1,,,,,,,,6.87743875765174,-303.68344816257274,1.0,,,,,,,,,,,,,,,,,,,,,1,
30-15,0-0,0-0,1,99000,,,4,,1,Ad,Player2,Near,1.0,Wide,140.24604111978758,174.09391950997136,,,,,,-13.628182414691121,-422.2989993436139,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-15,0-0,0-0,,100000,,,4,,2,Ad,Player2,Near,,,,,,,,,,185.87503280830293,499.0275043741954,Crosscourt,Backhand,,,,,,,,,,-153.49142060359526,-405.6340004372358,,,,,,,,,,,,,,,,,,,,,,1,
30-15,0-0,0-0,,103000,,,4,,3,Ad,Player2,Near,,,,,,,,,,-191.8103346455702,-531.6404308833648,Crosscourt,Backhand,,,,,,,,,,104.00232392820523,391.14482720889686,,,,,,,,,,,,,,,,,,,,,1,,
30-15,0-0,0-0,,104000,,,4,,4,Ad,Player2,Near,,,,,,,,,,116.49044181971234,513.574857830006,Down the Line,Forehand,,,,,,,,,,6.130664916882222,-334.78166010481397,,,,,,,,,,,,,,,,,,,,,1,,
30-15,0-0,0-0,,106000,1,106000,4,,5,Ad,Player2,Near,,,,,,,,,,-12.559694881883276,-489.89045275565246,Down the Line,Forehand,,,,,,,,,,-135.06038385819795,269.09449912497035,1.0,,,,,,,,,,,,,,,,,,,,1,,
40-15,0-0,0-0,1,141000,,,5,,1,Deuce,Player2,Near,0.0,Wide,-105.28374343826582,-227.3522145668117,1.0,T,-52.294187445292316,176.92534448809758,,45.277154418174334,-478.11458333308633,,,1,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
40-15,0-0,0-0,,160000,,,5,,2,Deuce,Player2,Near,,,,,,,,,,-107.15840988620886,515.2915573050707,Crosscourt,Forehand,,,,,,,,,,78.38281386697614,-355.7183508309623,,,,,,,,,,,,,,,,,,,,,,1,
40-15,0-0,0-0,,161000,,,5,,3,Deuce,Player2,Near,,,,,,,,,,74.99833223968129,-477.8645997372859,Crosscourt,Forehand,,,,,,,,,,-65.27339238841772,292.0371062990617,,,,,,,,,,,,,,,,,,,,,1,,
40-15,0-0,0-0,,163000,1,163000,5,,4,Deuce,Player2,Near,,,,,,,,,,-96.2192639982005,532.8929133855515,Crosscourt,Forehand,,,,,,,,,,156.931862423366,-457.96895231822356,,,,,1.0,,,,,,,,,,,,,,,,1,,
0-0,0-1,0-0,1,219000,,,6,,1,Deuce,Player1,Near,1.0,T,-14.636154855635484,214.28313648282887,,,,,,39.412357830250855,-470.5627515308155,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
