pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
0-0,0-0,0-0,1,1442,,,,,1,Deuce,Player1,Near,1,Body,-76,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,81939,,,,,2,Deuce,Player1,Near,,,,,,,,,,-93,509,Down the Line,Forehand,,,,,,,,,,-43,-258,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,82644,,,,,3,Ad,Player1,Near,,,,,,,,,,-80,-496,Down the Line,Forehand,,,,,,,,,,-147,234,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,84691,,,,,4,Deuce,Player1,Near,,,,,,,,,,-207,504,Down the Line,Backhand,,,,,,,,,,-45,-314,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,85867,,,,,5,Ad,Player1,Near,,,,,,,,,,-80,-512,Crosscourt,Forehand,,,,,,,,,,91,213,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,87748,1,,,,6,Ad,Player1,Near,,,,,,,,,,131,530,Down the Line,Forehand,,,,,,,,,,128,3,,,,1,,,,,,,,,,,,,,,,
15-0,0-0,0-0,1,87749,,,,,1,Ad,Player1,Near,1,Body,83,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,108583,,,,,2,Ad,Player1,Near,,,,,,,,,,128,530,Crosscourt,Forehand,,,,,,,,,,-53,-325,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,109307,,,,,3,Ad,Player1,Near,,,,,,,,,,-149,-485,Down the Line,Forehand,,,,,,,,,,-104,370,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,110717,,,,,4,Deuce,Player1,Near,,,,,,,,,,-152,525,Crosscourt,Backhand,,,,,,,,,,51,-210,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,111390,1,,,,5,Deuce,Player1,Near,,,,,,,,,,43,-405,Down the Line,Forehand,,,,,,,,,,93,1,,,,1,,,,,,,,,,,,,,,,
15-15,0-0,0-0,1,157985,,,,,1,Deuce,Player1,Near,0,T,-49,267,1,Body,-65,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,170242,,,,,2,Deuce,Player1,Near,,,,,,,,,,-121,444,Crosscourt,Forehand,,,,,,,,,,41,-346,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,171064,,,,,3,Deuce,Player1,Near,,,,,,,,,,47,-499,Down the Line,Forehand,,,,,,,,,,49,325,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,172980,1,,,,4,Ad,Player1,Near,,,,,,,,,,4,441,Down the Line,Forehand,,,,,,,,,,115,0,,,,1,,,,,,,,,,,,,,,,
30-15,0-0,0-0,1,171938,,,,,1,Ad,Player1,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-15,0-0,0-0,,199357,,,,,2,Ad,Player1,Near,,,,,,,,,,176,472,Crosscourt,Forehand,,,,,,,,,,-75,-157,,,,,,,,,,,,,,,,,,,,
30-15,0-0,0-0,,200539,,,,,3,Ad,Player1,Near,,,,,,,,,,-114,-365,Down the Line,Backhand,,,,,,,,,,-101,365,,,,,,,,,,,,,,,,,,,,
30-15,0-0,0-0,,202477,,,,,4,Deuce,Player1,Near,,,,,,,,,,-88,506,Crosscourt,Backhand,,,,,,,,,,37,-277,,,,,,,,,,,,,,,,,,,,
