pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
0-0,0-0,0-0,1.0,1442.0,,,,,1,Deuce,Player1,Near,1.0,Body,-76.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,81939.0,,,,,2,Deuce,Player1,Near,,,,,,,,,,-93.0,509.0,Down the Line,Forehand,,,,,,,,,,-43.0,-258.0,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,82644.0,,,,,3,Ad,Player1,Near,,,,,,,,,,-80.0,-496.0,Down the Line,Forehand,,,,,,,,,,-147.0,234.0,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,84691.0,,,,,4,Deuce,Player1,Near,,,,,,,,,,-207.0,504.0,Down the Line,Backhand,,,,,,,,,,-45.0,-314.0,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,85867.0,,,,,5,Ad,Player1,Near,,,,,,,,,,-80.0,-512.0,Crosscourt,Forehand,,,,,,,,,,91.0,213.0,,,,,,,,,,,,,,,,,,,,
0-0,0-0,0-0,,87748.0,1.0,,,,6,Ad,Player1,Near,,,,,,,,,,131.0,530.0,Down the Line,Forehand,,,,,,,,,,128.0,3.0,,,,1.0,,,,,,,,,,,,,,,,
15-0,0-0,0-0,1.0,87749.0,,,,,1,Ad,Player1,Near,1.0,Body,83.0,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,108583.0,,,,,2,Ad,Player1,Near,,,,,,,,,,128.0,530.0,Crosscourt,Forehand,,,,,,,,,,-53.0,-325.0,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,109307.0,,,,,3,Ad,Player1,Near,,,,,,,,,,-149.0,-485.0,Down the Line,Forehand,,,,,,,,,,-104.0,370.0,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,110717.0,,,,,4,Deuce,Player1,Near,,,,,,,,,,-152.0,525.0,Crosscourt,Backhand,,,,,,,,,,51.0,-210.0,,,,,,,,,,,,,,,,,,,,
15-0,0-0,0-0,,111390.0,1.0,,,,5,Deuce,Player1,Near,,,,,,,,,,43.0,-405.0,Down the Line,Forehand,,,,,,,,,,93.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
15-15,0-0,0-0,1.0,157985.0,,,,,1,Deuce,Player1,Near,0.0,T,-49.0,267.0,1.0,Body,-65.0,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,170242.0,,,,,2,Deuce,Player1,Near,,,,,,,,,,-121.0,444.0,Crosscourt,Forehand,,,,,,,,,,41.0,-346.0,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,171064.0,,,,,3,Deuce,Player1,Near,,,,,,,,,,47.0,-499.0,Down the Line,Forehand,,,,,,,,,,49.0,325.0,,,,,,,,,,,,,,,,,,,,
15-15,0-0,0-0,,172980.0,1.0,,,,4,Ad,Player1,Near,,,,,,,,,,4.0,441.0,Down the Line,Forehand,,,,,,,,,,115.0,0.0,,,,1.0,,,,,,,,,,,,,,,,
