Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,isExcitingPoint,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 1: 0-0, 0-0 Rudy Quan Serving",1,1,1,Rudy Quan,Yuta Shimizu,0-0,0-0,0-0,,Deuce,Rudy Quan,Yuta Shimizu,1442.0,,,Rudy Quan,6,5 - 8,1,0,1st Serve In,Body,Body,,False,Near,-76.0,131.0,,,Down the Line,Forehand,Net,,Down the Line,Forehand,Yuta Shimizu,Error,False,,,,0,0,0,0,0,0,,,1st Serve In,Deuce: Body,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,UCLA,
"Set 1: 0-0, 15-0 Rudy Quan Serving",2,1,1,Rudy Quan,Yuta Shimizu,15-0,0-0,0-0,,Ad,Rudy Quan,Yuta Shimizu,87749.0,,,Yuta Shimizu,5,5 - 8,1,0,1st Serve In,Body,Body,,False,Near,83.0,188.0,,,Crosscourt,Forehand,Net,,Down the Line,Forehand,Rudy Quan,Error,False,,,0.0,0,0,0,0,15,0,,,1st Serve In,Ad: Body,,,Down the Line,Forehand,Error,,,Crosscourt,Forehand,,,,UCLA,
"Set 1: 0-0, 15-15 Rudy Quan Serving",3,1,1,Rudy Quan,Yuta Shimizu,15-15,0-0,0-0,,Deuce,Rudy Quan,Yuta Shimizu,157985.0,,,Rudy Quan,4,1 - 4,0,1,2nd Serve In,Body,T,Body,False,Near,-49.0,267.0,-65.0,220.0,Crosscourt,Forehand,Net,,Down the Line,Forehand,Yuta Shimizu,Error,False,,,0.0,0,0,0,0,15,15,,,2nd Serve In,Deuce: Body,,,,,,,,Crosscourt,Forehand,Down the Line,Forehand,Error,UCLA,
"Set 1: 0-0, 30-15 Rudy Quan Serving",4,1,1,Rudy Quan,Yuta Shimizu,30-15,0-0,0-0,,Ad,Rudy Quan,Yuta Shimizu,171938.0,,,Yuta Shimizu,7,5 - 8,0,0,Double Fault,,,,False,Near,,,,,Crosscourt,Forehand,Wide Right,,Down the Line,Forehand,Rudy Quan,Error,False,,,0.0,0,0,0,0,30,15,,,Double Fault,,,,Down the Line,Forehand,,,,Crosscourt,Forehand,,,,UCLA,
"Set 1: 0-0, 30-30 Rudy Quan Serving",5,1,1,Rudy Quan,Yuta Shimizu,30-30,0-0,0-0,,Deuce,Rudy Quan,Yuta Shimizu,208668.0,,,Rudy Quan,8,5 - 8,1,0,1st Serve In,T,T,,False,Near,-34.0,169.0,,,Down the Line,Forehand,Net,,Down the Line,Forehand,Yuta Shimizu,Error,False,,,0.0,0,0,0,0,30,30,,,1st Serve In,Deuce: T,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,UCLA,
"Set 1: 0-0, 40-30 Rudy Quan Serving",6,1,1,Rudy Quan,Yuta Shimizu,40-30,0-0,0-0,,Ad,Rudy Quan,Yuta Shimizu,239957.0,,,Yuta Shimizu,12,9 - 12,1,0,1st Serve In,Body,Body,,False,Near,59.0,151.0,,,Crosscourt,Backhand,,,Crosscourt,Forehand,Yuta Shimizu,Winner,False,,,0.0,0,0,0,0,40,30,,,1st Serve In,Ad: Body,,,,,,,,Crosscourt,Backhand,Crosscourt,Forehand,Winner,UCLA,
"Set 1: 0-0, 40-40 Rudy Quan Serving",7,1,1,Rudy Quan,Yuta Shimizu,40-40,0-0,0-0,,Deuce,Rudy Quan,Yuta Shimizu,281240.0,,,Yuta Shimizu,7,5 - 8,0,1,2nd Serve In,T,Body,T,False,Near,-93.0,265.0,-48.0,149.0,Down the Line,Forehand,Wide Left,,Down the Line,Forehand,Rudy Quan,Error,True,,,0.0,0,0,0,0,40,40,,,2nd Serve In,Deuce: T,,,Down the Line,Forehand,Error,,,Down the Line,Forehand,,,,UCLA,
"Set 1: 0-0, 40-A Rudy Quan Serving",8,1,1,Rudy Quan,Yuta Shimizu,40-A,0-0,0-0,,Ad,Rudy Quan,Yuta Shimizu,350564.0,,,Rudy Quan,4,1 - 4,0,1,2nd Serve In,T,Wide,T,False,Near,123.0,265.0,24.0,165.0,Down the Line,Backhand,Long,,Crosscourt,Backhand,Yuta Shimizu,Error,False,,,0.0,0,0,0,0,40,A,,,2nd Serve In,Ad: T,,,,,,,,Down the Line,Backhand,Crosscourt,Backhand,Error,UCLA,
"Set 1: 0-0, 40-40 Rudy Quan Serving",9,1,1,Rudy Quan,Yuta Shimizu,40-40,0-0,0-0,,Deuce,Rudy Quan,Yuta Shimizu,387951.0,,,Rudy Quan,10,9 - 12,1,0,1st Serve In,Wide,Wide,,False,Near,-120.0,206.0,,,Crosscourt,Backhand,Long,,Down the Line,Backhand,Yuta Shimizu,Error,True,,,0.0,0,0,0,0,40,40,,,1st Serve In,Deuce: Wide,,,,,,,,Crosscourt,Backhand,Down the Line,Backhand,Error,UCLA,
"Set 1: 0-0, A-40 Rudy Quan Serving",10,1,1,Rudy Quan,Yuta Shimizu,A-40,0-0,0-0,,Ad,Rudy Quan,Yuta Shimizu,444244.0,,,Yuta Shimizu,5,5 - 8,1,0,1st Serve In,Body,Body,,False,Near,83.0,116.0,,,Crosscourt,Forehand,Wide Right,,Crosscourt,Backhand,Rudy Quan,Error,False,,Yuta Shimizu,0.0,0,0,0,0,A,40,,,1st Serve In,Ad: Body,,,Crosscourt,Backhand,Error,,,Crosscourt,Forehand,,,,UCLA,
