pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,1442.0,,,1,,1,Deuce,Rudy Quan,Near,1.0,Body,-76.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,1st Serve In,Body,
0-0,0-0,0-0,,81939.0,,,1,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-93.0,509.0,Down the Line,Forehand,,,,,,,,,,-43.0,-258.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,1,,,0,,,Short
0-0,0-0,0-0,,82644.0,,,1,,3,Ad,Rudy Quan,Near,,,,,,,,,,-80.0,-496.0,Down the Line,Forehand,,,,,,,,,,-147.0,234.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,1,,,0,,,Short
0-0,0-0,0-0,,84691.0,,,1,,4,Deuce,Rudy Quan,Near,,,,,,,,,,-207.0,504.0,Down the Line,Backhand,,,,,,,,,,-45.0,-314.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
0-0,0-0,0-0,,85867.0,,,1,,5,Ad,Rudy Quan,Near,,,,,,,,,,-80.0,-512.0,Crosscourt,Forehand,,,,,,,,,,91.0,213.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,1,,,,0,,,Short
0-0,0-0,0-0,,87748.0,1.0,,1,,6,Ad,Rudy Quan,Near,,,,,,,,,,131.0,530.0,Down the Line,Forehand,,,,,,,,,,128.0,3.0,,,,1.0,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,Rudy Quan,1,,,
15-0,0-0,0-0,1.0,87749.0,,,2,,1,Ad,Rudy Quan,Near,1.0,Body,83.0,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,1st Serve In,Body,
15-0,0-0,0-0,,108583.0,,,2,,2,Ad,Rudy Quan,Near,,,,,,,,,,128.0,530.0,Crosscourt,Forehand,,,,,,,,,,-53.0,-325.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
15-0,0-0,0-0,,109307.0,,,2,,3,Ad,Rudy Quan,Near,,,,,,,,,,-149.0,-485.0,Down the Line,Forehand,,,,,,,,,,-104.0,370.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,1,,,0,,,Deep
15-0,0-0,0-0,,110717.0,,,2,,4,Deuce,Rudy Quan,Near,,,,,,,,,,-152.0,525.0,Crosscourt,Backhand,,,,,,,,,,51.0,-210.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
