Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,break_points_won_player1,break_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2
2024-06-03,q 1,Sebastian Gorzny,Aadarsh Tripathi,"6-74, 7-5, 11-9",M15 San,,,,,,,,,,,,,,,,
2024-06-17,q 1,Aadarsh Tripathi,Joshua Charlton,"6-3, 6-2",M15 Rancho,,,,,,,,,,,,,,,,
2024-06-18,qual.,Aadarsh Tripathi,Karl Lee,"6-3, 6-3",M15 Rancho,,,,,,,,,,,,,,,,
2024-06-19,1st round,Aadarsh Tripathi,Colton Smith,"6-1, 7-5",M15 Rancho,32/66,45/64,20/32,23/45,21/34,11/19,5/9,1/7,30/64,25/66,71/130,59/130,2,2,0,1
2024-06-20,2nd round,Aadarsh Tripathi,Strong Kirchheimer,"2-6, 7-5, 6-3",M15 Rancho,48/103,65/99,32/48,44/65,29/55,15/34,4/13,4/9,40/99,42/103,101/202,101/202,3,3,2,5
2024-06-21,1/4,Jay Dylan Hara Friend,Aadarsh Tripathi,"4-6, 6-3, 7-63",M15 Rancho,64/92,45/92,48/64,32/45,14/28,25/47,4/8,4/7,35/92,30/92,97/184,87/184,4,4,3,3
2024-07-08,q 1,Aadarsh Tripathi,Anders Matta,"6-1, 6-1",M15 Lakewood,,,,,,,,,,,,,,,,
2024-07-09,qual.,Aadarsh Tripathi,Masato Perera,"6-2, 6-1",M15 Lakewood,,,,,,,,,,,,,,,,
2024-07-10,1st round,Jacob Brumm,Aadarsh Tripathi,"6-3, 6-1",M15 Lakewood,35/57,25/67,24/35,11/25,7/22,14/42,7/15,3/8,42/67,26/57,73/124,51/124,3,9,1,3
2024-07-29,q 2,Aadarsh Tripathi,Eric Perkowski,"6-1, 6-3",M25 Edwardsville,,,,,,,,,,,,,,,,
2024-07-30,qual.,Aadarsh Tripathi,Ethan Muza,"6-3, 6-4",M25 Edwardsville,29/51,27/56,22/29,16/27,11/22,12/29,5/6,2/3,28/56,18/51,61/107,46/107,1,6,1,1
2024-07-31,1st round,Aadarsh Tripathi,Ezekiel Clark,"7-5, 7-5",M25 Edwardsville,28/76,52/82,23/28,32/52,24/48,11/30,5/10,3/7,39/82,29/76,86/158,72/158,7,1,9,0
2024-08-01,2nd round,Kyle Kang,Aadarsh Tripathi,"1-6, 6-2, 6-1",M25 Edwardsville,43/72,34/57,27/43,22/34,16/29,9/23,5/9,3/8,26/57,29/72,69/129,60/129,1,3,3,3
