Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2
2024-05-27,q 1,Ryan Dickerson,Andrei Crabel,"6-2, 6-0",M15 San,,,,,,,,,,,,,,
2024-06-03,q 1,Ryan Dickerson,Andrei Crabel,"6-0, 6-1",M15 San,,,,,,,,,,,,,,
2024-06-10,q 1,Jay Dylan Hara Friend,Andrei Crabel,"6-1, 6-3",M15 San,,,,,,,,,,,,,,
2024-06-17,q 1,Christopher Bulus,Andrei Crabel,"6-2, 6-2",M15 Rancho,,,,,,,,,,,,,,
2024-06-24,q 1,Braden Shick,Andrei Crabel,"6-0, 6-2",M15 Los,,,,,,,,,,,,,,
2024-07-01,q 1,Jelani Sarr,Andrei Crabel,"6-2, 6-4",M15 Lakewood,,,,,,,,,,,,,,
2024-07-08,q 1,Jacob Bullard,Andrei Crabel,"6-2, 6-2",M15 Lakewood,,,,,,,,,,,,,,
2023-06-26,q 1,Daniel De Jonge,Andrei Crabel,"6-3, 6-1",M15 Irvine,,,,,,,,,,,,,,
2023-07-03,q 1,Elijah Strode,Andrei Crabel,"4-6, 6-1, 10-7",M15 Lakewood,,,,,,,,,,,,,,
2023-07-10,q 1,Jared Thompkins,Andrei Crabel,"6-3, 6-4",M15 Lakewood,,,,,,,,,,,,,,
