Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,break_points_won_player1,break_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2
2024-06-03,q 1,Emon Van Loben Sels,Perry Gregg,"6-2, 4-1,    - retired",M15 San,,,,,,,,,,,,,,,,
2024-06-04,qual.,Alexander Petrov,Emon Van Loben Sels,"6-3, 6-3",M15 San,,,,,,,,,,,,,,,,
2024-06-17,q 1,Noah Zamora,Emon Van Loben Sels,"4-6, 6-4, 11-9",M15 Rancho,,,,,,,,,,,,,,,,
2024-06-24,q 1,Emon Van Loben Sels,Phoenix Weir,"6-0, 6-0",M15 Los,,,,,,,,,,,,,,,,
2024-06-25,qual.,Emon Van Loben Sels,Ryan Dickerson,"3-6, 6-1, 14-12",M15 Los,,,,,,,,,,,,,,,,
2024-06-26,1st round,Bryce Nakashima,Emon Van Loben Sels,"5-7, 7-60, 6-4",M15 Los,76/115,59/106,52/76,43/59,23/39,23/47,2/3,2/8,40/106,40/115,115/221,106/221,1,6,0,2
2024-07-03,1st round,Emon Van Loben Sels,Miles Jones,"6-3, 1-6, 6-4",M15 Lakewood,57/92,74/107,29/57,44/74,19/35,14/33,5/15,5/10,49/107,44/92,97/199,102/199,4,7,7,2
2024-07-04,2nd round,Emon Van Loben Sels,Karl Lee,"1-6, 7-63, 6-1",M15 Lakewood,58/90,52/86,40/58,33/52,16/32,20/34,3/9,4/9,33/86,34/90,89/176,87/176,2,1,5,4
2024-07-05,1/4,Karue Sell,Emon Van Loben Sels,"6-2, 6-3",M15 Lakewood,28/55,23/44,21/28,14/23,18/27,9/21,3/4,0/1,21/44,16/55,60/99,39/99,1,5,3,1
2024-07-08,q 1,Emon Van Loben Sels,Nicolas Ian Kotzen,"3-6, 6-1, 10-6",M15 Lakewood,,,,,,,,,,,,,,,,
2024-07-09,qual.,Emon Van Loben Sels,Christopher Papa,"6-1, 6-3",M15 Lakewood,,,,,,,,,,,,,,,,
2024-07-10,1st round,Jelani Sarr,Emon Van Loben Sels,"5-7, 6-4, 6-0",M15 Lakewood,55/99,48/96,42/55,29/48,19/44,22/48,6/15,3/12,45/96,38/99,106/195,89/195,8,7,6,1
2023-07-03,q 1,Keegan Smith,Emon Van Loben Sels,"6-3, 6-2",M15 Lakewood,,,,,,,,,,,,,,,,
2023-07-10,q 1,Emon Van Loben Sels,Isaac Nortie Nortey,"6-3, 6-2",M15 Lakewood,,,,,,,,,,,,,,,,
2023-07-11,qual.,Emon Van Loben Sels,Noah Zamora,"6-4, 6-2",M15 Lakewood,,,,,,,,,,,,,,,,
2023-07-12,1st round,Keshav Chopra,Emon Van Loben Sels,"6-2, 6-0",M15 Lakewood,25/36,32/43,19/25,13/32,7/11,3/11,6/8,1/1,27/43,10/36,53/79,26/79,0,3,1,0
