Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,break_points_won_player1,break_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2
2024-08-13,1st round,Matias Soto,Gianluca Ballotta,"6-3, 6-4",M25 Arequipa,33/53,37/66,27/33,19/37,10/20,15/29,4/9,2/5,32/66,16/53,69/119,50/119,5,5,8,0
2024-08-18,q 1,Gianluca Ballotta,Jerry Christopher Brow Salinas,"6-0, 6-3",M25 Arequipa,,,,,,,,,,,,,,,,
2024-08-19,qual.,Gianluca Ballotta,Nahuel Fernandez,"6-3, 6-0",M25 Arequipa,30/50,29/48,20/30,19/29,15/20,3/19,4/9,0/2,26/48,15/50,61/98,37/98,0,9,0,4
2024-08-21,1st round,Peter Bertran,Gianluca Ballotta,"6-4, 6-3",M25 Arequipa,30/62,39/75,19/30,20/39,17/32,15/36,6/17,3/6,40/75,26/62,76/137,61/137,7,6,4,0
2023-08-08,1st round,Gianluca Ballotta,Alejandro Hoyos,"6-3, 6-4",M15 Arequipa,50/72,30/55,36/50,21/30,11/22,8/25,3/7,1/6,26/55,25/72,73/127,54/127,1,6,0,1
2023-08-09,2nd round,Ignacio Antonio Becerra Otarola,Gianluca Ballotta,"6-4, 6-1",M15 Arequipa,29/48,32/48,19/29,14/32,9/19,4/16,6/8,3/3,30/48,20/48,58/96,38/96,3,4,2,0
2023-08-15,1st round,Matias Soto,Gianluca Ballotta,"7-5, 4-6, 6-3",M25 Trujillo,,,,,,,,,,,,,,,,
2023-08-20,q 1,Gianluca Ballotta,Johan Alexander Rodriguez,"6-4, 3-6, 6-2",Lima Challenger,60/94,56/94,37/60,39/56,17/34,15/38,5/12,3/11,40/94,40/94,94/188,94/188,2,4,0,6
2023-08-21,qual.,Matias Franco Descotte,Gianluca Ballotta,"6-3, 6-1",Lima Challenger,25/42,37/56,17/25,16/37,13/17,10/19,5/8,1/3,30/56,12/42,60/98,38/98,1,2,2,1
2022-08-08,1st round,Alejandro Hoyos,Gianluca Ballotta,"7-64, 6-4",Lima Challenger,48/69,44/68,35/48,28/44,11/21,15/24,3/9,2/4,25/68,23/69,71/137,66/137,0,1,0,2
2022-08-24,1st round,Alan Fernando Rubio Fierros,Gianluca Ballotta,"7-62, 6-1",M15 Cancun,47/85,35/57,32/47,20/35,22/38,12/22,3/3,1/9,25/57,31/85,79/142,63/142,4,2,4,2
2022-09-04,1st round,Gilles Arnaud Bailly,Gianluca Ballotta,"6-2, 6-1",U.S. Open,,,,,,,,,,,,,,,,
2022-10-23,q 1,Miljan Zekic,Gianluca Ballotta,"6-3, 6-2",Lima 2,32/47,31/55,28/32,21/31,8/15,10/24,,,24/55,11/47,60/102,42/102,2,2,7,0
2022-11-09,1st round,Arklon Huertas Del Pino,Gianluca Ballotta,"6-3, 6-4",M15 Lima,39/54,43/69,27/39,30/43,11/15,8/26,4/12,1/5,31/69,16/54,69/123,54/123,0,7,2,1
2022-11-16,1st round,Alberto Alvarado Berrospi,Gianluca Ballotta,"6-1, 6-2",M15 Lima,34/49,27/47,25/34,15/27,10/15,8/20,4/4,0/5,24/47,14/49,59/96,37/96,2,5,3,1
2021-09-26,q 1,Johan Nikles,Gianluca Ballotta,"6-0, 6-3",Lima Challenger,31/48,23/47,23/31,11/23,10/17,9/24,5/9,1/4,27/47,15/48,60/95,35/95,1,2,1,0
2021-10-06,1st round,Gianluca Ballotta,Giulio Colacioppo,"6-1, 6-4",M25 Lima,51/70,33/57,35/51,18/33,10/19,10/24,4/12,1/7,29/57,25/70,74/127,53/127,1,2,,
2021-10-07,2nd round,Daniel Dutra Da Silva,Gianluca Ballotta,"6-0, 6-1",M25 Lima,29/38,31/42,22/29,9/31,2/9,3/11,7/10,1/2,30/42,14/38,54/80,26/80,0,1,1,0
2021-10-13,1st round,Gonzalo Bueno,Gianluca Ballotta,"6-1, 4-6, 6-4",M25 Lima,45/85,50/78,21/45,24/50,21/40,8/28,9/14,7/11,46/78,43/85,88/163,75/163,4,3,,
