Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,break_points_won_player1,break_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2
2024-06-12,1st round,Liam Draxl,Govind Nanda,"6-1, 6-3",M25 Wichita,33/44,29/47,22/33,14/29,7/11,6/18,6/8,2/3,27/47,15/44,56/91,35/91,0,1,1,3
2024-06-19,1st round,Govind Nanda,Jerry Roddick,"4-6, 6-4, 6-3",M25 Tulsa,60/98,53/88,40/60,29/53,16/38,17/35,7/13,5/11,42/88,42/98,98/186,88/186,2,5,11,6
2024-06-20,2nd round,Govind Nanda,Bruno Kuzuhara,"7-65, 6-2",M25 Tulsa,56/82,68/83,39/56,41/68,13/26,6/15,3/5,1/7,36/83,30/82,88/165,77/165,1,2,5,1
2024-06-21,1/4,Bernard Tomic,Govind Nanda,"6-3, 6-1",M25 Tulsa,33/70,28/48,27/33,16/28,16/37,8/20,5/7,1/10,24/48,27/70,67/118,51/118,2,1,7,0
2024-07-01,q 1,Govind Nanda,Abraham Asaba,"6-1, 6-3",M15 Lakewood,,,,,,,,,,,,,,,,
2024-07-02,qual.,Govind Nanda,Jelani Sarr,"6-4, 7-65",M15 Lakewood,,,,,,,,,,,,,,,,
2024-07-03,1st round,Govind Nanda,Alexander Petrov,"4-6, 6-0, 6-1",M15 Lakewood,38/61,57/88,28/38,26/57,11/23,13/31,8/13,3/10,49/88,22/61,88/149,61/149,0,7,4,3
2024-07-04,2nd round,Govind Nanda,Noah Zamora,"6-2, 6-2",M15 Lakewood,47/71,37/65,31/47,18/37,12/24,13/28,5/13,1/8,34/65,28/71,77/136,59/136,4,1,0,1
2024-07-05,1/4,Govind Nanda,Jack Anthrop,"6-4, 6-4",M15 Lakewood,37/55,44/63,26/37,29/44,11/18,10/19,3/7,1/1,24/63,18/55,61/118,57/118,1,1,5,1
2024-07-06,1/2,Govind Nanda,Karue Sell,"6-4, 6-1",M15 Lakewood,27/41,39/74,24/27,22/39,8/14,18/35,,,34/74,9/41,66/115,49/115,1,3,1,3
2024-07-07,fin,Govind Nanda,Stefan Dostanic,"6-4, 5-7, 7-5",M15 Lakewood,74/113,63/103,47/74,37/63,23/39,23/40,5/10,4/12,43/103,43/113,113/216,103/216,2,5,1,5
2024-07-10,1st round,Govind Nanda,Alan Fernando Rubio Fierros,"6-4, 6-2",M15 Lakewood,39/61,37/60,25/39,22/37,12/22,7/23,5/10,2/6,31/60,24/61,68/121,53/121,2,5,1,0
2024-07-11,2nd round,Govind Nanda,Arda Azkara,"6-2, 2-0,    - retired",M15 Lakewood,17/30,19/45,10/17,10/19,11/13,10/26,3/8,0/3,25/45,9/30,46/75,29/75,1,4,1,0
2024-07-12,1/4,Govind Nanda,Kyle Kang,"4-6, 7-62, 7-67",M15 Lakewood,87/124,81/117,57/87,49/81,18/37,20/36,4/9,5/8,48/117,49/124,123/241,118/241,5,1,1,1
