Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,break_points_won_player1,break_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2
2024-01-21,1st round,Kaylan Bigun,Rohan Hazratwala,"6-3, 3-6, 6-4",Australian Open,,,,,,,,,,,,,,,,
2024-01-23,2nd round,Kaylan Bigun,Thijs Boogaard,"6-2, 3-6, 6-3",Australian Open,,,,,,,,,,,,,,,,
2024-01-24,3rd round,Kaylan Bigun,Petr Brunclik,"6-75, 6-3, 7-68",Australian Open,,,,,,,,,,,,,,,,
2024-01-25,1/4,Nicolai Budkov Kjaer,Kaylan Bigun,"3-6, 7-62, 6-2",Australian Open,,,,,,,,,,,,,,,,
2024-02-13,1st round,Kaylan Bigun,Dan Martin,"6-3, 7-5",M15 Palm,25/53,37/65,21/25,24/37,16/28,11/28,5/9,2/5,30/65,16/53,67/118,51/118,1,3,6,5
2024-02-15,2nd round,Roberto Cid Subervi,Kaylan Bigun,"6-3, 6-4",M15 Palm,50/67,21/54,32/50,15/21,8/17,11/33,5/5,2/8,28/54,27/67,68/121,53/121,2,8,0,2
2024-03-05,1st round,Kiranpal Pannu,Kaylan Bigun,"3-6, 7-62, 7-5",M25 Santo,71/115,54/114,47/71,32/54,16/44,26/60,8/15,8/24,56/114,52/115,119/229,110/229,7,11,8,6
2024-03-19,1st round,Karue Sell,Kaylan Bigun,"5-7, 7-64, 6-1",M25 Calabasas,62/117,50/91,48/62,33/50,25/55,17/41,5/8,4/16,41/91,44/117,114/208,94/208,8,7,9,2
2024-04-07,q 1,Kaylan Bigun,Bogdan Bobrov,"7-63, 7-64",Sarasota Challenger,63/94,50/84,39/63,36/50,20/31,15/34,2/6,2/10,33/84,35/94,92/178,86/178,5,0,4,4
2024-04-08,qual.,Kaylan Bigun,Viktor Durasovic,"6-4, 6-3",Sarasota Challenger,46/67,32/62,31/46,18/32,10/21,14/30,4/9,2/6,30/62,26/67,71/129,58/129,3,4,4,2
2024-04-08,qual.,Kaylan Bigun,Viktor Durasovic,"6-4, 6-3",Sarasota Challenger,46/67,32/62,31/46,18/32,10/21,14/30,4/9,2/6,30/62,26/67,71/129,58/129,3,4,4,2
2024-04-10,2nd round,Zizou Bergs,Kaylan Bigun,"6-4, 6-0",Sarasota Challenger,32/55,26/44,21/32,10/26,12/23,7/18,6/8,2/5,27/44,22/55,60/99,39/99,3,2,6,1
2024-04-16,1st round,Bogdan Bobrov,Kaylan Bigun,"4-6, 6-2, 6-4",Tallahassee Challenger,51/82,57/96,39/51,39/57,21/31,20/39,3/12,1/9,37/96,22/82,97/178,81/178,2,7,12,4
2024-04-24,1st round,Kaylan Bigun,Sekou Bangoura,"6-0, 6-1",M15 Vero,18/43,20/29,15/18,4/20,14/25,1/9,6/7,1/4,24/29,14/43,53/72,19/72,4,2,3,0
2024-04-25,2nd round,Dian Nedev,Kaylan Bigun,"3-6, 6-3, 6-0",M15 Vero,53/76,43/83,38/53,30/43,12/23,18/40,4/8,1/1,35/83,26/76,85/159,74/159,0,9,5,3
2024-05-13,1st round,Kaylan Bigun,Gabriele Pennaforti,"3-6, 6-4, 6-2",M25 Reggio,64/104,43/76,41/64,27/43,20/40,16/33,5/9,4/14,33/76,43/104,94/180,86/180,3,7,4,3
2024-05-17,2nd round,Enrico Dalla Valle,Kaylan Bigun,"6-2, 6-4",M25 Reggio,47/58,32/49,34/47,17/32,5/11,8/17,4/7,1/8,24/49,19/58,63/107,44/107,0,1,4,3
2024-06-03,1st round,Kaylan Bigun,Viktor Frydrych,"6-1, 6-3",French Open,,,,,,,,,,,,,,,,
2024-06-04,2nd round,Kaylan Bigun,Timeo Trufelli,"6-1, 6-2",French Open,,,,,,,,,,,,,,,,
2024-06-05,3rd round,Kaylan Bigun,Miguel Tobon,"6-4, 6-1",French Open,,,,,,,,,,,,,,,,
2024-06-06,1/4,Kaylan Bigun,Henry Bernet,"6-2, 5-7, 6-4",French Open,,,,,,,,,,,,,,,,
2024-06-07,1/2,Kaylan Bigun,Joel Schwaerzler,"2-6, 6-3, 6-4",French Open,,,,,,,,,,,,,,,,
2024-06-08,fin,Kaylan Bigun,Tomasz Berkieta,"4-6, 6-3, 6-3",French Open,,,,,,,,,,,,,,,,
2024-07-08,1st round,Kaylan Bigun,Maximilian Carrier,"6-0, 6-3",Wimbledon (juniors),,,,,,,,,,,,,,,,
2024-07-10,2nd round,Kaylan Bigun,Thomas Faurel,"6-3, 6-4",Wimbledon (juniors),,,,,,,,,,,,,,,,
2024-07-11,3rd round,Kaylan Bigun,Amir Omarkhanov,"6-74, 6-0, 6-4",Wimbledon (juniors),,,,,,,,,,,,,,,,
2024-07-12,1/4,Mees Rottgering,Kaylan Bigun,"7-63, 6-3",Wimbledon (juniors),,,,,,,,,,,,,,,,
2024-08-20,q 1,Valentin Vacherot,Kaylan Bigun,"7-64, 6-4",New York,50/96,26/68,38/50,17/26,20/46,20/42,3/6,2/12,31/68,38/96,89/164,75/164,12,8,11,2
2024-09-01,1st round,Kaylan Bigun,Andreas Timini,"6-4, 6-2",U.S. Open,,,,,,,,,,,,,,,,
2024-09-02,2nd round,Kaylan Bigun,Karim Bennani,"6-2, 6-2",U.S. Open,,,,,,,,,,,,,,,,
2024-09-04,3rd round,Kaylan Bigun,Matthew Forbes,"6-2, 6-4",U.S. Open,,,,,,,,,,,,,,,,
