Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2,break_points_won_player1,break_points_won_player2
2023-12-31,,Novak Djokovic,Zhizhen Zhang,"6-3, 6-2",Australia,28/46,35/57,24/28,24/35,12/18,7/22,26/57,10/46,62/103,41/103,1,2,7,4,,
2024-01-02,,Novak Djokovic,Jiri Lehecka,"6-1, 6-73, 6-1",Australia,49/80,47/75,36/49,30/47,19/31,9/28,36/75,25/80,91/155,64/155,2,1,3,4,6/11,2/5
2024-01-03,1/4,Alex De Minaur,Novak Djokovic,"6-4, 6-4",Australia,34/49,43/68,33/34,30/43,8/15,11/25,27/68,8/49,68/117,49/117,2,1,7,4,,
2024-01-14,1st round,Novak Djokovic,Dino Prizmic,"6-2, 6-75, 6-3, 6-4",Melbourne,77/129,84/123,51/77,55/84,32/52,12/39,56/123,46/129,139/252,113/252,1,7,11,7,8/17,4/9
2024-01-17,2nd round,Novak Djokovic,Alexei Popyrin,"6-3, 4-6, 7-64, 6-3",Melbourne,73/119,64/111,60/73,47/64,27/46,27/47,37/111,32/119,124/230,106/230,0,4,11,17,3/11,2/7
2024-01-19,3rd round,Novak Djokovic,Tomas Martin Etcheverry,"6-3, 6-3, 7-62",Melbourne,57/84,72/100,49/57,51/72,16/27,10/28,39/100,19/84,104/184,80/184,0,1,10,13,,
2024-01-21,4th round,Novak Djokovic,Adrian Mannarino,"6-0, 6-0, 6-3",Melbourne,48/69,34/58,39/48,17/34,13/21,8/24,33/58,17/69,85/127,42/127,5,0,17,1,7/11,0/3
2024-01-23,1/4,Novak Djokovic,Taylor Harry Fritz,"7-63, 4-6, 6-2, 6-3",Melbourne,72/115,90/154,59/72,59/90,25/43,31/64,64/154,31/115,148/269,121/269,3,2,20,16,4/21,2/6
2024-01-26,1/2,Jannik Sinner,Novak Djokovic,"6-1, 6-2, 6-76, 6-3",Melbourne,64/110,79/116,53/64,53/79,29/46,17/37,46/116,28/110,128/226,98/226,1,4,9,7,,
2024-03-09,2nd round,Novak Djokovic,Aleksandar Vukic,"6-2, 5-7, 6-3",Indian Wells,46/76,56/100,38/46,44/56,16/30,12/44,44/100,22/76,98/176,78/176,5,3,11,9,5/13,2/6
2024-03-11,3rd round,Luca Nardi,Novak Djokovic,"6-4, 3-6, 6-3",Indian Wells,64/90,57/95,44/64,44/57,13/26,16/38,35/95,33/90,92/185,93/185,7,1,6,4,3/11,2/4
2024-04-09,2nd round,Novak Djokovic,Roman Safiullin,"6-1, 6-2",Monte-Carlo,22/34,26/61,17/22,16/26,11/12,11/35,34/61,6/34,62/95,33/95,0,2,1,1,,
2024-04-11,3rd round,Novak Djokovic,Lorenzo Musetti,"7-5, 6-3",Monte-Carlo,46/67,33/62,31/46,20/33,11/21,12/29,30/62,25/67,72/129,57/129,2,1,3,1,5/6,3/6
2024-04-12,1/4,Novak Djokovic,Alex De Minaur,"7-5, 6-4",Monte-Carlo,42/64,30/71,27/42,18/30,13/22,20/41,33/71,24/64,73/135,62/135,1,4,2,3,5/11,3/7
2024-04-13,1/2,Casper Ruud,Novak Djokovic,"6-4, 1-6, 6-4",Monte-Carlo,44/78,46/79,28/44,31/46,16/34,19/33,29/79,34/78,73/157,84/157,4,2,4,3,4/7,4/5
2024-05-10,2nd round,Novak Djokovic,Corentin Moutet,"6-3, 6-1",Rome,26/42,45/59,17/26,21/45,11/16,5/14,33/59,14/42,61/101,40/101,0,0,1,0,6/9,2/7
2024-05-12,3rd round,Alejandro Tabilo,Novak Djokovic,"6-2, 6-3",Rome,30/42,27/52,23/30,19/27,9/12,11/25,22/52,10/42,54/94,40/94,0,5,4,8,,
2024-05-22,2nd round,Novak Djokovic,Yannick Hanfmann,"6-3, 6-3",Geneva,45/68,42/50,32/45,24/42,12/23,3/8,23/50,24/68,67/118,51/118,2,0,3,3,4/9,1/11
2024-05-23,1/4,Novak Djokovic,Tallon Griekspoor,"7-5, 6-1",Geneva,38/53,32/55,33/38,23/32,7/15,9/23,23/55,13/53,63/108,45/108,1,5,4,4,4/9,0/7
2024-05-24,1/2,Tomas Machac,Novak Djokovic,"6-4, 0-6, 6-1",Geneva,46/75,60/92,27/46,38/60,14/29,11/32,43/92,34/75,84/167,83/167,2,2,4,4,5/12,4/11
2024-05-28,1st round,Novak Djokovic,Pierre-Hugues Herbert,"6-4, 7-63, 6-4",Paris,56/82,65/102,47/56,46/65,19/26,19/37,37/102,16/82,103/184,81/184,2,7,4,7,3/7,1/1
2024-05-30,2nd round,Novak Djokovic,Roberto Carballes Baena,"6-4, 6-1, 6-2",Paris,46/73,48/78,33/46,23/48,16/27,12/30,43/78,24/73,92/151,59/151,1,3,5,2,7/12,2/3
2024-06-01,3rd round,Novak Djokovic,Lorenzo Musetti,"7-5, 6-76, 2-6, 6-3, 6-0",Paris,90/139,87/145,62/90,51/87,24/49,30/58,64/145,53/139,150/284,134/284,2,2,5,1,9/15,5/5
2024-06-03,4th round,Novak Djokovic,Francisco Cerundolo,"6-1, 5-7, 3-6, 7-5, 6-3",Paris,123/183,95/146,85/123,58/95,30/60,32/51,56/146,68/183,171/329,158/329,2,2,6,3,6/11,4/19
2024-06-04,1/4,Casper Ruud,Novak Djokovic,- walk over,Paris,,,,,,,,,,,,,,,,
2024-07-02,1st round,Novak Djokovic,Vit Kopriva,"6-1, 6-2, 6-2",London,39/58,53/96,35/39,29/53,13/19,17/43,50/96,10/58,98/154,56/154,2,5,10,4,,
2024-07-04,2nd round,Novak Djokovic,Jacob Fearnley,"6-3, 6-4, 5-7, 7-5",London,82/123,80/122,66/82,59/80,23/41,22/42,41/122,34/123,130/245,115/245,3,5,14,13,4/7,2/6
