Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,break_points_won_player1,break_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2
2024-01-15,q 1,Rudy Quan,Alex Kobelt,"2-6, 7-64, 10-7",M25 Ithaca,,,,,,,,,,,,,,,,
2024-01-16,qual.,Rudy Quan,Pranav Kumar,"6-4, 6-0",M25 Ithaca,36/54,30/51,23/36,15/30,14/18,10/21,4/5,0/3,26/51,17/54,63/105,42/105,1,4,1,2
2024-01-17,1st round,Adit Sinha,Rudy Quan,"6-2, 6-0",M25 Ithaca,22/43,16/35,19/22,9/16,12/21,5/19,5/5,0/3,21/35,12/43,52/78,26/78,2,3,4,0
2024-01-22,q 1,Rudy Quan,Cedric Stanke,"6-2, 6-2",M25 Wesley,,,,,,,,,,,,,,,,
2024-01-23,qual.,Rudy Quan,Pranav Kumar,"6-3, 6-3",M25 Wesley,44/62,35/53,28/44,18/35,9/18,7/18,5/7,2/6,28/53,25/62,65/115,50/115,1,6,1,0
2024-01-24,1st round,Rudy Quan,Karue Sell,"6-4, 6-3",M25 Wesley,37/60,34/67,27/37,21/34,9/23,12/33,5/14,3/8,34/67,24/60,70/127,57/127,5,2,1,2
2024-01-25,2nd round,Gilles Arnaud Bailly,Rudy Quan,"6-4, 6-1",M25 Wesley,36/51,30/52,27/36,18/30,7/15,8/22,4/10,1/2,26/52,17/51,60/103,43/103,2,6,0,1
2024-02-12,q 1,Arthur Bonnaud,Rudy Quan,"6-74, 6-4, 10-5",M15 Palm,,,,,,,,,,,,,,,,
2024-04-24,1st round,Rudy Quan,Nathan Ponwith,"6-0, 7-65",M15 Vero,38/61,31/65,23/38,15/31,12/23,13/34,7/11,4/12,37/65,26/61,72/126,54/126,1,6,,
2024-04-25,2nd round,Rudy Quan,Cooper Woestendick,"6-3, 6-2",M15 Vero,42/53,29/47,26/42,13/29,5/11,4/18,6/7,3/7,30/47,22/53,61/100,39/100,3,4,0,3
2024-04-26,1/4,Garrett Johns,Rudy Quan,"6-4, 6-4",M15 Vero,41/62,46/63,29/41,25/46,8/21,4/17,5/10,3/6,34/63,25/62,71/125,54/125,1,4,4,0
2024-05-01,1st round,Rudy Quan,Victor Lilov,"6-4, 6-4",M15 Orange,42/59,34/62,22/42,18/34,12/17,13/28,5/9,3/10,31/62,25/59,65/121,56/121,0,4,1,1
2024-05-02,2nd round,Rudy Quan,Jonas Pelle Hartenstein,- walk over,M15 Orange,,,,,,,,,,,,,,,,
2024-05-03,1/4,Rudy Quan,Andres Andrade,"7-64, 7-5",M15 Orange,60/77,46/82,31/60,22/46,7/17,13/36,7/10,6/8,47/82,39/77,85/159,74/159,2,2,1,0
2024-05-04,1/2,Duarte Vale,Rudy Quan,"6-4, 4-6, 6-2",M15 Orange,47/91,82/113,28/47,43/82,20/44,11/31,7/21,5/8,59/113,43/91,107/204,97/204,9,6,4,0
2024-05-26,q 1,Rudy Quan,Shintaro Imai,"4-6, 6-4, 6-2",Little Rock,55/76,54/118,36/55,34/54,10/21,29/64,6/19,4/6,55/118,30/76,101/194,93/194,2,9,0,15
2024-05-27,qual.,Rudy Quan,Filip Peliwo,"6-4, 6-2",Little Rock,36/51,23/49,20/36,12/23,6/15,5/26,7/7,4/8,32/49,25/51,58/100,42/100,1,4,0,1
2024-05-28,1st round,Rudy Quan,Stefan Kozlov,"6-1, 7-5",Little Rock,42/62,41/58,25/42,19/41,10/20,5/17,6/11,3/6,34/58,27/62,69/120,51/120,1,3,0,0
2024-05-30,2nd round,Rudy Quan,Andres Andrade,"6-3, 3-6, 6-3",Little Rock,59/84,44/89,32/59,25/44,10/25,16/45,8/17,6/9,48/89,42/84,90/173,83/173,7,10,1,3
2024-05-31,1/4,Yuta Shimizu,Rudy Quan,"6-4, 6-3",Little Rock,37/55,64/80,21/37,29/64,9/18,7/16,7/16,4/7,44/80,25/55,74/135,61/135,1,2,4,0
2024-06-04,1st round,Alexis Galarneau,Rudy Quan,"6-2, 7-5",Tyler Challenger,34/58,31/60,26/34,17/31,12/24,13/29,5/9,2/6,30/60,20/58,68/118,50/118,0,3,5,3
2024-07-10,1st round,Rudy Quan,Ryan Dickerson,"4-6, 6-4, 6-0",M15 Lakewood,55/74,48/77,35/55,25/48,8/19,10/29,8/15,5/8,42/77,31/74,85/151,66/151,4,5,1,3
2024-07-11,2nd round,Rudy Quan,Preston Stearns,"7-5, 4-6, 6-2",M15 Lakewood,86/110,68/103,54/86,41/68,11/24,14/35,6/13,4/11,48/103,45/110,113/213,100/213,5,5,1,3
2024-07-12,1/4,Learner Tien,Rudy Quan,"6-4, 7-64",M15 Lakewood,51/79,55/80,31/51,29/55,11/28,10/25,6/10,5/13,41/80,37/79,83/159,76/159,2,5,4,0
2024-09-01,1st round,Rudy Quan,Viktor Frydrych,"7-5, 6-1",U.S. Open,,,,,,,,,,,,,,,,
2024-09-02,2nd round,Rafael Jodar,Rudy Quan,"3-6, 6-4, 6-3",U.S. Open,,,,,,,,,,,,,,,,
2024-10-06,q 1,Rudy Quan,Patrick Zahraj,"7-5, 6-1",Fairfield Challenger,41/65,33/62,27/41,23/33,15/24,7/29,5/8,2/8,32/62,23/65,74/127,53/127,1,8,0,6
2024-10-07,qual.,Rudy Quan,Keegan Smith,"6-3, 6-0",Fairfield Challenger,42/54,28/44,29/42,11/28,9/12,10/16,4/6,0/3,23/44,16/54,61/98,37/98,0,2,1,2
2024-10-08,1st round,Rudy Quan,Guy Den Ouden,"3-6, 6-3, 6-4",Fairfield Challenger,72/92,47/79,52/72,32/47,9/20,18/32,3/5,2/8,29/79,31/92,90/171,81/171,4,6,0,2
2024-10-10,2nd round,Ethan Quinn,Rudy Quan,"6-3, 2-6, 6-2",Fairfield Challenger,41/72,66/86,26/41,35/66,15/31,9/20,6/12,4/4,42/86,31/72,83/158,75/158,1,2,4,0
2024-10-20,q 1,Borna Gojo,Rudy Quan,"4-6, 6-1, 6-1",Sioux Falls,37/60,56/78,27/37,29/56,15/23,8/22,6/15,2/2,41/78,18/60,83/138,55/138,2,2,6,3
2023-01-02,q 1,Rudy Quan,Marko Stakusic,"7-5, 6-3",M25 Malibu,,,,,,,,,,,,,,,,
2023-01-03,qual.,Rudy Quan,Perry Gregg,"7-5, 0-6, 10-1",M25 Malibu,,,,,,,,,,,,,,,,
2023-01-06,2nd round,Alexander Cozbinov,Rudy Quan,"6-4, 6-1",M25 Malibu,,,,,,,,,,,,,,,,
2023-01-06,1st round,Rudy Quan,Aditya Gupta,"6-4, 4-6, 10-8",M25 Malibu,,,,,,,,,,,,,,,,
2023-03-23,1st round,Rudy Quan,Blu Baker,"6-4, 6-3",M25 Calabasas,,,,,,,,,,,,,,,,
2023-03-24,2nd round,Andrew Rogers,Rudy Quan,"6-3, 6-3",M25 Calabasas,,,,,,,,,,,,,,,,
2023-05-29,q 1,Rudy Quan,William Chase Thompson,"6-3, 1-6, 10-5",M15 Rancho,,,,,,,,,,,,,,,,
2023-05-30,qual.,Rudy Quan,Piotr Galus,"3-6, 6-4, 10-4",M15 Rancho,,,,,,,,,,,,,,,,
2023-05-31,1st round,Connor Farren,Rudy Quan,"7-64, 6-3",M15 Rancho,39/66,31/64,31/39,22/31,15/27,15/33,3/4,2/5,27/64,20/66,73/130,57/130,5,4,7,1
2023-06-05,q 1,Rohan Murali,Rudy Quan,"6-1, 7-60",M15 San,,,,,,,,,,,,,,,,
2023-06-12,q 1,Rudy Quan,James Watt,"7-63, 7-66",M15 San,,,,,,,,,,,,,,,,
2023-06-13,qual.,Ryan Seggerman,Rudy Quan,"6-3, 6-71, 10-4",M15 San,,,,,,,,,,,,,,,,
2023-06-19,q 1,Rudy Quan,Marco Alvarez,"6-0, 6-3",M15 Los,,,,,,,,,,,,,,,,
2023-06-20,qual.,Daniel De Jonge,Rudy Quan,"6-4, 6-2",M15 Los,,,,,,,,,,,,,,,,
2023-06-26,q 1,Rudy Quan,Neel Joshi,"6-2, 6-2",M15 Irvine,,,,,,,,,,,,,,,,
2023-06-27,qual.,Rudy Quan,Giacomo Revelli,"5-7, 6-1, 10-6",M15 Irvine,,,,,,,,,,,,,,,,
2023-06-28,1st round,Learner Tien,Rudy Quan,"6-3, 6-4",M15 Irvine,45/70,41/69,22/45,17/41,14/25,12/28,7/15,4/17,40/69,34/70,76/139,63/139,2,3,2,1
2023-07-05,1st round,Alexander Kotzen,Rudy Quan,"6-4, 4-6, 6-2",M15 Lakewood,52/81,71/100,35/52,46/71,18/29,12/29,4/9,2/2,42/100,28/81,95/181,86/181,2,6,4,1
2023-10-18,1st round,Andres Andrade,Rudy Quan,"6-0, 6-1",M15 Las,18/39,36/49,14/18,12/36,15/21,6/13,6/14,0/4,31/49,10/39,60/88,28/88,3,4,2,0
2023-10-23,q 1,Rudy Quan,Ryan Silva,"6-0, 6-0",M25 Harlingen,,,,,,,,,,,,,,,,
2023-10-24,qual.,Rudy Quan,Elias Sumann,"6-2, 4-6, 10-6",M25 Harlingen,49/60,42/73,25/49,21/42,5/11,13/31,5/14,4/6,39/73,30/60,69/133,64/133,3,7,1,0
2023-10-25,1st round,Rudy Quan,Andres Martin,"6-3, 6-4",M25 Harlingen,41/59,46/76,27/41,19/46,3/18,11/30,8/17,5/6,46/76,29/59,76/135,59/135,6,4,0,6
2023-10-26,2nd round,Ivan Marrero Curbelo,Rudy Quan,"6-2, 6-1",M25 Harlingen,38/55,29/43,25/38,13/29,9/17,5/14,6/7,1/7,25/43,21/55,59/98,39/98,4,1,,
2023-11-16,1st round,Alexander Razeghi,Rudy Quan,"3-6, 6-3, 10-6",M15 Boca,,,,,,,,,,,,,,,,
