Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,break_points_won_player1,break_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2
2024-05-27,q 1,Spencer Johnson,Jip Van Assendelft,"7-62, 6-3",M15 San,,,,,,,,,,,,,,,,
2024-05-28,qual.,Spencer Johnson,Lui Maxted,"6-3, 4-6, 10-7",M15 San,,,,,,,,,,,,,,,,
2024-05-29,1st round,Spencer Johnson,Arda Azkara,"5-7, 6-3, 6-2",M15 San,54/82,46/79,46/54,29/46,12/28,15/33,5/8,3/5,35/79,24/82,93/161,68/161,5,3,3,5
2024-05-30,2nd round,Jacob Brumm,Spencer Johnson,"6-3, 6-1",M15 San,33/53,33/57,23/33,20/33,12/20,6/24,5/12,1/4,31/57,18/53,66/110,44/110,2,5,3,5
2024-06-26,1st round,Spencer Johnson,Arda Azkara,"7-65, 6-1",M15 Los,37/58,38/71,29/37,23/38,9/21,15/33,4/9,1/5,33/71,20/58,71/129,58/129,2,7,2,2
2024-06-27,2nd round,Spencer Johnson,Nathan Ponwith,"4-6, 6-3, 6-2",M15 Los,45/74,29/65,35/45,22/29,17/29,18/36,4/6,2/5,25/65,22/74,77/139,62/139,4,7,8,3
2024-06-28,1/4,Colton Smith,Spencer Johnson,"7-66, 6-2",M15 Los,43/77,43/69,33/43,27/43,16/34,10/26,3/6,1/8,32/69,28/77,81/146,65/146,4,2,3,4
2024-07-01,q 1,Spencer Johnson,Avery Tallakson,"6-2, 6-1",M15 Lakewood,,,,,,,,,,,,,,,,
2024-07-02,qual.,Spencer Johnson,Ryan Dickerson,"6-4, 6-4",M15 Lakewood,,,,,,,,,,,,,,,,
2024-07-03,1st round,Stefan Dostanic,Spencer Johnson,"7-5, 6-1",M15 Lakewood,36/53,49/77,28/36,31/49,8/17,8/28,5/17,1/2,38/77,17/53,74/130,56/130,5,6,2,6
2024-07-10,1st round,Spencer Johnson,Christopher Papa,"6-1, 6-3",M15 Lakewood,46/61,33/43,33/46,18/33,6/15,4/10,4/7,0/3,21/43,22/61,60/104,44/104,2,1,1,3
2024-07-11,2nd round,Kyle Kang,Spencer Johnson,"6-4, 7-65",M15 Lakewood,38/64,48/74,29/38,32/48,18/26,15/26,2/4,1/1,27/74,17/64,74/138,64/138,2,1,0,3
2024-09-08,q 1,Spencer Johnson,Lorenzo Claverie,"4-6, 6-3, 7-65",Las Vegas,70/101,55/101,57/70,41/55,16/31,27/46,1/6,1/8,33/101,28/101,106/202,96/202,1,6,14,3
2024-09-09,qual.,Alex Rybakov,Spencer Johnson,"2-6, 6-1, 6-4",Las Vegas,56/84,54/82,38/56,36/54,15/28,11/28,4/13,3/6,35/82,31/84,88/166,78/166,7,9,4,2
